#weight  minuslogpost  cosmomc_theta      logA         ns       ombh2      omch2     Alens         tau     a_tSZ     a_kSZ       a_p    beta_p       a_c    beta_c       a_s            As        H0  minuslogprior  minuslogprior__0      chi2  chi2__chi2
      6     744.90157    0.010414962  3.008803  0.9758825 0.022268173 0.11779825 1.0403549 0.042441228 3.3984318 1.6917066 6.8589175 2.0844133 5.0459568 2.1678919 3.0919869 2.0263131e-09 68.245653     -24.842349        -24.842349 1539.4878   1539.4878
     12     745.45162    0.010414962  3.008803  0.9758825 0.022268173 0.11779825 1.0403549 0.042441228 3.3964049 1.6953611 6.8275708 2.0853428 5.0423432 2.1716442 3.0906751 2.0263131e-09 68.245653     -24.842349        -24.842349 1540.5879   1540.5879
     46     745.35184    0.010414873 3.0083931  0.9751405 0.022277197  0.1176616  1.051328 0.042305194 3.3964049 1.6953611 6.8275708 2.0853428 5.0423432 2.1716442 3.0906751 2.0254826e-09 68.299114     -24.811648        -24.811648  1540.327    1540.327
      4     745.31198    0.010414925 3.0082508 0.97591314   0.0222685 0.11758466 1.0498243 0.042087454 3.3964049 1.6953611 6.8275708 2.0853428 5.0423432 2.1716442 3.0906751 2.0251944e-09 68.321336     -24.761784        -24.761784 1540.1475   1540.1475
     55     745.23254    0.010414999 3.0079039 0.97514676 0.022262562 0.11786408  1.052521 0.041742844 3.3964049 1.6953611 6.8275708 2.0853428 5.0423432 2.1716442 3.0906751 2.0244919e-09 68.218658     -24.681048        -24.681048 1539.8272   1539.8272
     28      745.8275     0.01041521  3.012361 0.97465403 0.022278571 0.11807818 1.0549111 0.043989931 3.3964049 1.6953611 6.8275708 2.0853428 5.0423432 2.1716442 3.0906751 2.0335355e-09 68.162324     -25.167388        -25.167388 1541.9898   1541.9898
      4     747.24154    0.010414912 3.0103512 0.97607035 0.022284157 0.11755281 1.0554209 0.044181664 3.3964049 1.6953611 6.8275708 2.0853428 5.0423432 2.1716442 3.0906751 2.0294526e-09 68.345257     -25.204498        -25.204498 1544.8921   1544.8921
     34      751.9716    0.010413543 3.0137098 0.97546069 0.022278297 0.11665744 1.0901517 0.046643032 3.3964049 1.6953611 6.8275708 2.0853428 5.0423432 2.1716442 3.0906751 2.0362802e-09  68.61787     -25.619621        -25.619621 1555.1824   1555.1824
      5     749.83114    0.010413901  3.014448 0.97442819 0.022303892 0.11695181 1.0925341 0.045391052 3.3964049 1.6953611 6.8275708 2.0853428 5.0423432 2.1716442 3.0906751  2.037784e-09 68.544308     -25.422674        -25.422674 1550.5076   1550.5076
     19     751.73091    0.010413901  3.014448 0.97442819 0.022303892 0.11695181 1.0925341 0.045391052  3.392733 1.6716552 6.8096057 2.0848778 5.0403405 2.1758566 3.0914515  2.037784e-09 68.544308     -25.422674        -25.422674 1554.3072   1554.3072
      6     750.28442    0.010413901  3.014448 0.97442819 0.022303892 0.11695181 1.0925341 0.045391052  3.396059 1.6522662 6.8392498 2.0832594 5.0647458 2.1761161 3.0924278  2.037784e-09 68.544308     -25.422674        -25.422674 1551.4142   1551.4142
     12     749.69361    0.010413917 3.0140976 0.97460988 0.022308922 0.11676677 1.0909204 0.045690964  3.396059 1.6522662 6.8392498 2.0832594 5.0647458 2.1761161 3.0924278   2.03707e-09 68.616002     -25.472532        -25.472532 1550.3323   1550.3323
      2     749.99424     0.01041393 3.0142389 0.97486503 0.022305693 0.11674229 1.0923773 0.045788338  3.396059 1.6522662 6.8392498 2.0832594 5.0647458 2.1761161 3.0924278 2.0373578e-09 68.622656     -25.488356        -25.488356 1550.9652   1550.9652
      4     749.70665    0.010413856 3.0173927 0.97460846 0.022314268 0.11695061 1.0789587 0.046351224  3.396059 1.6522662 6.8392498 2.0832594 5.0647458 2.1761161 3.0924278 2.0437934e-09 68.551785     -25.576346        -25.576346  1550.566    1550.566
     11     748.94788    0.010414043 3.0169725  0.9746639 0.022309187 0.11715092 1.0756757 0.046070501  3.396059 1.6522662 6.8392498 2.0832594 5.0647458 2.1761161 3.0924278 2.0429348e-09 68.481462     -25.533207        -25.533207 1548.9622   1548.9622
     11     749.07564    0.010414043 3.0169725  0.9746639 0.022309187 0.11715092 1.0756757 0.046070501 3.3970434 1.6502837 6.8442723 2.0785478 5.0689879  2.172354 3.0935522 2.0429348e-09 68.481462     -25.533207        -25.533207 1549.2177   1549.2177
     22     749.85424     0.01041358 3.0129711 0.97282276 0.022315196 0.11651046 1.0867058 0.044467522 3.3970434 1.6502837 6.8442723 2.0785478 5.0689879  2.172354 3.0935522 2.0347766e-09 68.702876     -25.258544        -25.258544 1550.2256   1550.2256
      6     750.00912    0.010413788 3.0133155 0.97227756 0.022320362 0.11656787 1.0874448 0.044159696 3.3970434 1.6502837 6.8442723 2.0785478 5.0689879  2.172354 3.0935522 2.0354775e-09 68.693265     -25.200281        -25.200281 1550.4188   1550.4188
      5     747.19848    0.010412868 3.0147913   0.972635 0.022385634 0.11793184 1.0586833 0.045046943 3.3970434 1.6502837 6.8442723 2.0785478 5.0689879  2.172354 3.0935522 2.0384836e-09 68.224334     -25.363389        -25.363389 1545.1237   1545.1237
      8     747.77678    0.010412802 3.0148859 0.97255995 0.022388202 0.11788695 1.0586565 0.045373814 3.3970434 1.6502837 6.8442723 2.0785478 5.0689879  2.172354 3.0935522 2.0386764e-09  68.24032     -25.419757        -25.419757 1546.3931   1546.3931
10 748.38958 0.010412802 3.0148859 0.97255995 0.022388202 0.11788695 1.0586565 0.045373814 3.4039305  1.639988 6.8980072 2.0737062 5.0061597 2.1848583 3.0961454 2.0386764e-09  68.24032 -25.419757 -25.419757 1547.6187 1547.6187
52  748.0189 0.010412557 3.0149815 0.96984146 0.022414537 0.11777292 1.0610354 0.043321504 3.4039305  1.639988 6.8980072 2.0737062 5.0061597 2.1848583 3.0961454 2.0388714e-09 68.294684  -25.03262  -25.03262  1546.103  1546.103
 1 745.55861 0.010412557 3.0149815 0.96984146 0.022414537 0.11777292 1.0610354 0.043321504 3.4012787 1.6592465 6.9125509 2.0761701  4.930715 2.1885065 3.0917025 2.0388714e-09 68.294684  -25.03262  -25.03262 1541.1825 1541.1825
10 745.89657 0.010412557 3.0149815 0.96984146 0.022414537 0.11777292 1.0610354 0.043321504 3.4025263 1.6638574 6.9159291 2.0763045 4.9280108 2.1896642 3.0927016 2.0388714e-09 68.294684  -25.03262  -25.03262 1541.8584 1541.8584
24  745.8449 0.010412557 3.0149815 0.96984146 0.022414537 0.11777292 1.0610354 0.043321504 3.4023717 1.6616836 6.9163661 2.0759693 4.9238032 2.1900214 3.0923629 2.0388714e-09 68.294684  -25.03262  -25.03262  1541.755  1541.755
 6 745.45632 0.010412557 3.0149815 0.96984146 0.022414537 0.11777292 1.0610354 0.043321504 3.4019075 1.6532421 6.9199164 2.0748424 4.9202853 2.1929215 3.0924334 2.0388714e-09 68.294684  -25.03262  -25.03262 1540.9779 1540.9779
 3 744.73353 0.010412577 3.0143036  0.9702502 0.022408014  0.1178758 1.0628659 0.043526962 3.4019075 1.6532421 6.9199164 2.0748424 4.9202853 2.1929215 3.0924334 2.0374898e-09 68.253083 -25.074937 -25.074937 1539.6169 1539.6169
 4 745.60283 0.010412359 3.0144825 0.96997759 0.022406804 0.11789916 1.0676767 0.043527477 3.4019075 1.6532421 6.9199164 2.0748424 4.9202853 2.1929215 3.0924334 2.0378542e-09 68.236411 -25.075042 -25.075042 1541.3557 1541.3557
17 745.26878 0.010412447 3.0145355 0.96998969 0.022408784 0.11785232 1.0666296 0.043721586 3.4019075 1.6532421 6.9199164 2.0748424 4.9202853 2.1929215 3.0924334 2.0379623e-09 68.257763 -25.114292 -25.114292 1540.7661 1540.7661
45 745.33881 0.010412429 3.0145395 0.96998538 0.022408749 0.11785256 1.0667414 0.043831794 3.4019075 1.6532421 6.9199164 2.0748424 4.9202853 2.1929215 3.0924334 2.0379704e-09 68.257049 -25.136261 -25.136261 1540.9501 1540.9501
 2 744.85481 0.010412578 3.0144412 0.96987847 0.022387597 0.11854867 1.0521785 0.043729749 3.4019075 1.6532421 6.9199164 2.0748424 4.9202853 2.1929215 3.0924334 2.0377701e-09 67.996244 -25.115927 -25.115927 1539.9415 1539.9415
11 744.05485 0.010412233 3.0151994 0.97124849 0.022416356 0.11805001 1.0368454 0.044462687 3.4019075 1.6532421 6.9199164 2.0748424 4.9202853 2.1929215 3.0924334 2.0393156e-09 68.186122 -25.257643 -25.257643  1538.625  1538.625
 3 744.05609 0.010412199  3.015137 0.97091498 0.022423834  0.1181458 1.0365992 0.044110881 3.4019075 1.6532421 6.9199164 2.0748424 4.9202853 2.1929215 3.0924334 2.0391885e-09 68.156952 -25.190878 -25.190878 1538.4939 1538.4939
15 746.64542  0.01041334 3.0127478 0.97028456  0.02241072 0.11799723 1.0145881 0.042545012 3.4019075 1.6532421 6.9199164 2.0748424 4.9202853 2.1929215 3.0924334 2.0343222e-09 68.237511 -24.865538 -24.865538 1543.0219 1543.0219
17 746.65522  0.01041334 3.0127478 0.97028456  0.02241072 0.11799723 1.0145881 0.042545012 3.3999194 1.6700965 6.9196726 2.0729944 4.9347142 2.1966888 3.0946052 2.0343222e-09 68.237511 -24.865538 -24.865538 1543.0415 1543.0415
17 747.31455 0.010413684 3.0137162 0.96906549 0.022369205 0.11808949 1.0120344 0.041991019 3.3999194 1.6700965 6.9196726 2.0729944 4.9347142 2.1966888 3.0946052 2.0362933e-09 68.181809 -24.739416 -24.739416 1544.1079 1544.1079
12 747.95583 0.010413651 3.0136064 0.96896604 0.022370282 0.11815662 1.0128644  0.04237957 3.3999194 1.6700965 6.9196726 2.0729944 4.9347142 2.1966888 3.0946052 2.0360696e-09 68.157613 -24.828476 -24.828476 1545.5686 1545.5686
10 748.82487 0.010413651 3.0136064 0.96896604 0.022370282 0.11815662 1.0128644  0.04237957  3.426458 1.7177501  6.891052 2.0893011 4.9342483 2.1735655 3.0914626 2.0360696e-09 68.157613 -24.828476 -24.828476 1547.3067 1547.3067
 9  747.7718 0.010413651 3.0136064 0.96896604 0.022370282 0.11815662 1.0128644  0.04237957 3.4219561  1.730223 6.8915175 2.0878943 4.9411445 2.1723545  3.090264 2.0360696e-09 68.157613 -24.828476 -24.828476 1545.2006 1545.2006
 8 747.94453 0.010413647 3.0142657 0.96783408 0.022375019  0.1181222 1.0167536 0.042092276 3.4219561  1.730223 6.8915175 2.0878943 4.9411445 2.1723545  3.090264 2.0374125e-09 68.173699 -24.762898 -24.762898 1545.4149 1545.4149
 7 747.94082 0.010413164 3.0148992 0.96851574 0.022383524 0.11805003 1.0135632 0.043020274 3.4219561  1.730223 6.8915175 2.0878943 4.9411445 2.1723545  3.090264 2.0387036e-09 68.190255 -24.969146 -24.969146 1545.8199 1545.8199
