#weight  minuslogpost  cosmomc_theta      logA         ns       ombh2      omch2      Alens         tau     a_tSZ     a_kSZ       a_p    beta_p       a_c    beta_c       a_s            As        H0  minuslogprior  minuslogprior__0      chi2  chi2__chi2
      1     723.46384    0.010405646 3.0523656 0.95998171 0.022426651 0.12035219 0.94949961 0.057904048 3.4343944 1.7387597 6.7623569 2.1089129 5.1227584  2.139666  3.068732 2.1165355e-09 67.161829     -26.068975        -26.068975 1499.0656   1499.0656
      3     722.13771     0.01040562  3.052312 0.96031405 0.022419395 0.12031479 0.94926108 0.057344698 3.4343944 1.7387597 6.7623569 2.1089129 5.1227584  2.139666  3.068732  2.116422e-09 67.167993     -26.102819        -26.102819 1496.4811   1496.4811
      1     721.48588     0.01040566 3.0524512 0.96052487  0.02242077 0.12034458 0.95341401 0.057370263 3.4343944 1.7387597 6.7623569 2.1089129 5.1227584  2.139666  3.068732 2.1167166e-09  67.16012     -26.101401        -26.101401 1495.1746   1495.1746
     20     721.61918    0.010405611  3.052417 0.96068027 0.022423162 0.12039537 0.95297942 0.057396199 3.4343944 1.7387597 6.7623569 2.1089129 5.1227584  2.139666  3.068732 2.1166441e-09 67.142746     -26.099949        -26.099949 1495.4383   1495.4383
     15     721.66759    0.010405561 3.0525877 0.96057795 0.022414085 0.12038232 0.95166502 0.057497497 3.4343944 1.7387597 6.7623569 2.1089129 5.1227584  2.139666  3.068732 2.1170056e-09 67.138131     -26.094157        -26.094157 1495.5235   1495.5235
      5     721.57626    0.010405561 3.0525877 0.96057795 0.022414085 0.12038232 0.95166502 0.057497497 3.4346448 1.7388974 6.7620369 2.1086417   5.12269 2.1395522 3.0687735 2.1170056e-09 67.138131     -26.094157        -26.094157 1495.3408   1495.3408
     54     722.42675    0.010405521 3.0522423 0.96063677 0.022416913 0.12043223 0.95170788 0.057945636 3.4346448 1.7388974 6.7620369 2.1086417   5.12269 2.1395522 3.0687735 2.1162745e-09 67.121752     -26.066224        -26.066224 1496.9859   1496.9859
      9     722.33289    0.010405521 3.0522423 0.96063677 0.022416913 0.12043223 0.95170788 0.057945636 3.4349843 1.7401345 6.7611016 2.1085018  5.123631 2.1393137 3.0689848 2.1162745e-09 67.121752     -26.066224        -26.066224 1496.7982   1496.7982
     29     720.78973    0.010406315 3.0508573 0.96045592  0.02239837 0.12060676 0.95223783 0.056924112 3.4349843 1.7401345 6.7611016 2.1085018  5.123631 2.1393137 3.0689848 2.1133455e-09 67.072318       -26.1244          -26.1244 1493.8283   1493.8283
     41     721.97026    0.010406347 3.0502659 0.95982202 0.022387612 0.12028406 0.95055595 0.055619291 3.4349843 1.7401345 6.7611016 2.1085018  5.123631 2.1393137 3.0689848 2.1120959e-09 67.176757      -26.17023         -26.17023  1496.281    1496.281
     17     722.32913    0.010406347 3.0502659 0.95982202 0.022387612 0.12028406 0.95055595 0.055619291 3.4287515 1.7470663 6.7644326 2.1070864 5.1208829 2.1381731 3.0699418 2.1120959e-09 67.176757      -26.17023         -26.17023 1496.9987   1496.9987
     20     722.74785    0.010406347 3.0502659 0.95982202 0.022387612 0.12028406 0.95055595 0.055619291 3.4247001 1.7548885 6.7617892 2.1108133 5.1128475 2.1335725 3.0722496 2.1120959e-09 67.176757      -26.17023         -26.17023 1497.8362   1497.8362
     10     724.32626    0.010406328 3.0500595 0.95994252  0.02238703 0.12017048  0.9502084 0.055277373 3.4247001 1.7548885 6.7617892 2.1108133 5.1128475 2.1335725 3.0722496 2.1116602e-09 67.215277     -26.176956        -26.176956 1501.0064   1501.0064
     26      723.7891    0.010406468 3.0500836 0.95988402 0.022385825 0.12018786 0.94924269 0.055410427 3.4247001 1.7548885 6.7617892 2.1108133 5.1128475 2.1335725 3.0722496 2.1117111e-09 67.212892     -26.174599        -26.174599 1499.9274   1499.9274
      3     725.44704    0.010406468 3.0500836 0.95988402 0.022385825 0.12018786 0.94924269 0.055410427 3.4453166  1.759376 6.7485761 2.1176094 5.1072295 2.1301828 3.0673315 2.1117111e-09 67.212892     -26.174599        -26.174599 1503.2433   1503.2433
     33     725.49262    0.010406473 3.0500723 0.95986055 0.022386031  0.1201785 0.94919204 0.055407963 3.4453166  1.759376 6.7485761 2.1176094 5.1072295 2.1301828 3.0673315 2.1116871e-09 67.216484     -26.174646        -26.174646 1503.3345   1503.3345
      4     725.36571    0.010406316 3.0511996 0.95992803 0.022395775 0.12045016 0.95264216 0.055584757 3.4453166  1.759376 6.7485761 2.1176094 5.1072295 2.1301828 3.0673315 2.1140691e-09 67.124635     -26.171008        -26.171008 1503.0734   1503.0734
     48     721.10469    0.010407001 3.0514088 0.96098985 0.022341415 0.12083786 0.96200227  0.05686604 3.4453166  1.759376 6.7485761 2.1176094 5.1072295 2.1301828 3.0673315 2.1145113e-09 66.967993     -26.127119        -26.127119 1494.4636   1494.4636
     25     721.15819    0.010407001 3.0514088 0.96098985 0.022341415 0.12083786 0.96200227  0.05686604 3.4411631 1.7551233 6.7474675 2.1178821 5.1036195 2.1317082 3.0678333 2.1145113e-09 66.967993     -26.127119        -26.127119 1494.5706   1494.5706
     31     721.05766    0.010407001 3.0514088 0.96098985 0.022341415 0.12083786 0.96200227  0.05686604 3.4338006 1.7594476 6.7418644 2.1145251 5.1070541 2.1387589 3.0635012 2.1145113e-09 66.967993     -26.127119        -26.127119 1494.3696   1494.3696
 8 721.63343 0.010407222 3.0526083 0.96160088 0.022344344 0.12054743 0.96651003 0.058109935 3.4338006 1.7594476 6.7418644 2.1145251 5.1070541 2.1387589 3.0635012 2.1170491e-09 67.078599  -26.05504  -26.05504 1495.3769 1495.3769
28 721.26769 0.010407511 3.0526045  0.9616059 0.022339465 0.12054298 0.96681886 0.057136525 3.4338006 1.7594476 6.7418644 2.1145251 5.1070541 2.1387589 3.0635012 2.1170412e-09 67.085789 -26.113916 -26.113916 1494.7632 1494.7632
 9 723.08272 0.010407511 3.0526045  0.9616059 0.022339465 0.12054298 0.96681886 0.057136525 3.4315639 1.7802364 6.7695819  2.110173 5.1234528 2.1400392 3.0633703 2.1170412e-09 67.085789 -26.113916 -26.113916 1498.3933 1498.3933
17  722.7821 0.010406928 3.0532116 0.96172483 0.022325046 0.12068793 0.96031367 0.058006305 3.4315639 1.7802364 6.7695819  2.110173 5.1234528 2.1400392 3.0633703 2.1183268e-09  67.00406 -26.062153 -26.062153 1497.6885 1497.6885
16 722.90993 0.010406787 3.0535387 0.96149197 0.022319371 0.12060481 0.96387959  0.05811163 3.4315639 1.7802364 6.7695819  2.110173 5.1234528 2.1400392 3.0633703 2.1190197e-09 67.023529 -26.054922 -26.054922 1497.9297 1497.9297
35 722.05475 0.010406787 3.0535387 0.96149197 0.022319371 0.12060481 0.96387959  0.05811163 3.4111655 1.8569607 6.7496471 2.1106047 5.0922946 2.1448733 3.0579095 2.1190197e-09 67.023529 -26.054922 -26.054922 1496.2193 1496.2193
20 722.45613 0.010406902 3.0538901 0.96169474 0.022314267 0.12070441 0.96476265 0.057897586 3.4111655 1.8569607 6.7496471 2.1106047 5.0922946 2.1448733 3.0579095 2.1197645e-09 66.988584   -26.0694   -26.0694 1497.0511 1497.0511
13 722.92378 0.010406831 3.0541494 0.96150944 0.022314015 0.12071154 0.96431062 0.057804726 3.4111655 1.8569607 6.7496471 2.1106047 5.0922946 2.1448733 3.0579095 2.1203142e-09 66.983535 -26.075414 -26.075414 1497.9984 1497.9984
 6 723.73202 0.010407641 3.0542784 0.96108018 0.022308554 0.12104795 0.95777177 0.057053476 3.4111655 1.8569607 6.7496471 2.1106047 5.0922946 2.1448733 3.0579095 2.1205878e-09 66.889497 -26.118116 -26.118116 1499.7003 1499.7003
 3 722.57532 0.010407641 3.0542784 0.96108018 0.022308554 0.12104795 0.95777177 0.057053476 3.4013234 1.8611976 6.7493259 2.1100958 5.0861501 2.1490122 3.0617858 2.1205878e-09 66.889497 -26.118116 -26.118116 1497.3869 1497.3869
15 722.46162 0.010407641 3.0542784 0.96108018 0.022308554 0.12104795 0.95777177 0.057053476 3.4076077 1.8508912 6.7522168 2.1114406 5.0852182 2.1466779 3.0633111 2.1205878e-09 66.889497 -26.118116 -26.118116 1497.1595 1497.1595
14 721.76664 0.010407683 3.0541313 0.96085269 0.022297262 0.12107246 0.95907459 0.057006647 3.4076077 1.8508912 6.7522168 2.1114406 5.0852182 2.1466779 3.0633111 2.1202759e-09 66.873113 -26.120427 -26.120427 1495.7741 1495.7741
 3 723.11296 0.010407683 3.0541313 0.96085269 0.022297262 0.12107246 0.95907459 0.057006647 3.4065019 1.8359926 6.7656457 2.1096133 5.0908064 2.1470831 3.0609469 2.1202759e-09 66.873113 -26.120427 -26.120427 1498.4668 1498.4668
18 723.13902 0.010407687 3.0541517 0.96087921 0.022297537 0.12107256 0.95908213 0.057020291 3.4065019 1.8359926 6.7656457 2.1096133 5.0908064 2.1470831 3.0609469  2.120319e-09 66.873429 -26.119758 -26.119758 1498.5175 1498.5175
 8 722.72808 0.010407687 3.0541517 0.96087921 0.022297537 0.12107256 0.95908213 0.057020291 3.4027506 1.8168992 6.7432435 2.1094817 5.0977136 2.1533876 3.0619149  2.120319e-09 66.873429 -26.119758 -26.119758 1497.6957 1497.6957
53 722.68991 0.010407721 3.0531027 0.96089931 0.022314467 0.12158743 0.96176251 0.056248207 3.4027506 1.8168992 6.7432435 2.1094817 5.0977136 2.1533876 3.0619149 2.1180961e-09 66.710993 -26.152129 -26.152129 1497.6841 1497.6841
 3 721.32902 0.010407703  3.052877  0.9607881 0.022305699 0.12162265 0.96218724 0.056533587 3.4027506 1.8168992 6.7432435 2.1094817 5.0977136 2.1533876 3.0619149 2.1176181e-09 66.691069 -26.141467 -26.141467  1494.941  1494.941
13 721.13519 0.010407703 3.0527352 0.96064247 0.022306602  0.1215886 0.96045047 0.056594352 3.4027506 1.8168992 6.7432435 2.1094817 5.0977136 2.1533876 3.0619149 2.1173178e-09 66.703497 -26.138999 -26.138999 1494.5484 1494.5484
 3 721.58163 0.010407703 3.0527352 0.96064247 0.022306602  0.1215886 0.96045047 0.056594352 3.3953294 1.8194628 6.7484574 2.1083671 5.0906854 2.1473258 3.0620211 2.1173178e-09 66.703497 -26.138999 -26.138999 1495.4413 1495.4413
18 721.45237 0.010407703 3.0527352 0.96064247 0.022306602  0.1215886 0.96045047 0.056594352 3.3959234 1.8334516 6.7364682 2.1076373 5.1011191 2.1497893 3.0619734 2.1173178e-09 66.703497 -26.138999 -26.138999 1495.1827 1495.1827
22 721.40554 0.010407703 3.0527352 0.96064247 0.022306602  0.1215886 0.96045047 0.056594352 3.3976374 1.8084095 6.7287446 2.1077525 5.1214904 2.1476714 3.0632823 2.1173178e-09 66.703497 -26.138999 -26.138999 1495.0891 1495.0891
21 721.56934 0.010407787 3.0527096 0.96072984 0.022310331 0.12156065 0.96171083 0.056873308 3.3976374 1.8084095 6.7287446 2.1077525 5.1214904 2.1476714 3.0632823 2.1172635e-09 66.718992 -26.126783 -26.126783 1495.3922 1495.3922
10 721.80803 0.010407929 3.0531924 0.96102221 0.022292567 0.12160107 0.96061604 0.056730742 3.3976374 1.8084095 6.7287446 2.1077525 5.1214904 2.1476714 3.0632823 2.1182861e-09 66.695163 -26.133209 -26.133209 1495.8825 1495.8825
34 724.59666 0.010408142 3.0577284 0.96147425 0.022283052 0.12183484 0.96129063 0.058501463 3.3976374 1.8084095 6.7287446 2.1077525 5.1214904 2.1476714 3.0632823 2.1279163e-09 66.614113 -26.026344 -26.026344  1501.246  1501.246
12 721.86556 0.010407885 3.0578012 0.96027236 0.022296222 0.12191383  0.9523785 0.058762854 3.3976374 1.8084095 6.7287446 2.1077525 5.1214904 2.1476714 3.0632823 2.1280714e-09 66.589362 -26.005585 -26.005585 1495.7423 1495.7423
 3 720.57482 0.010407885 3.0578012 0.96027236 0.022296222 0.12191383  0.9523785 0.058762854 3.4013341 1.8002293 6.7187375 2.1077781 5.1171736 2.1560275 3.0666053 2.1280714e-09 66.589362 -26.005585 -26.005585 1493.1608 1493.1608
18 720.77974 0.010408076  3.057552 0.95872734  0.02230386 0.12203053  0.9585423 0.057573794 3.4013341 1.8002293 6.7187375 2.1077781 5.1171736 2.1560275 3.0666053  2.127541e-09 66.562053 -26.089668 -26.089668 1493.7388 1493.7388
40 720.42105 0.010407739 3.0577022 0.95847792 0.022306958 0.12213689 0.95746876  0.05767229 3.4013341 1.8002293 6.7187375 2.1077781 5.1171736 2.1560275 3.0666053 2.1278607e-09 66.517013  -26.08371  -26.08371 1493.0095 1493.0095
22 720.59411 0.010407739 3.0577022 0.95847792 0.022306958 0.12213689 0.95746876  0.05767229 3.4041187 1.7981459 6.7168367  2.106416 5.1244671 2.1582645 3.0662271 2.1278607e-09 66.517013  -26.08371  -26.08371 1493.3556 1493.3556
18 721.19107 0.010407519 3.0580022  0.9578432 0.022289177 0.12191086 0.95961935 0.058072733 3.4041187 1.7981459 6.7168367  2.106416 5.1244671 2.1582645 3.0662271 2.1284991e-09 66.572363 -26.057616 -26.057616 1494.4974 1494.4974
25 721.22219 0.010407565 3.0579338 0.95777491 0.022290855 0.12188141 0.95982512 0.058019065 3.4041187 1.7981459 6.7168367  2.106416 5.1244671 2.1582645 3.0662271 2.1283535e-09 66.585372 -26.061288 -26.061288  1494.567  1494.567
