#weight  minuslogpost  cosmomc_theta      logA         ns       ombh2      omch2     Alens         tau     a_tSZ     a_kSZ       a_p    beta_p       a_c    beta_c       a_s            As        H0  minuslogprior  minuslogprior__0      chi2  chi2__chi2
      4     752.42784     0.01041575 3.0147569 0.97191523  0.02222687  0.1176295 1.0543339 0.043039573 3.3313606 1.9091729 6.7207007 2.1069467 5.1486024 2.1400036 3.0828847 2.0384134e-09  68.29864     -24.973264        -24.973264 1554.8022   1554.8022
     11     752.31784     0.01041575 3.0147569 0.97191523  0.02222687  0.1176295 1.0543339 0.043039573 3.3488814 1.8934725 6.7371813 2.1037214 5.1315559 2.1481399 3.0768779 2.0384134e-09  68.29864     -24.973264        -24.973264 1554.5822   1554.5822
     13     751.44922    0.010416079 3.0140796 0.97208324 0.022243812 0.11770397 1.0573452 0.044001188 3.3488814 1.8934725 6.7371813 2.1037214 5.1315559 2.1481399 3.0768779 2.0370333e-09 68.296901     -25.169586        -25.169586 1553.2376   1553.2376
     18     750.85979    0.010415589 3.0139048 0.97122366  0.02225555 0.11761992 1.0607944 0.042868282 3.3488814 1.8934725 6.7371813 2.1037214 5.1315559 2.1481399 3.0768779 2.0366772e-09 68.320311     -24.936472        -24.936472 1551.5925   1551.5925
      3     750.45556    0.010415438 3.0142256  0.9720631 0.022260625 0.11761915 1.0614264 0.044293712 3.3488814 1.8934725 6.7371813 2.1037214 5.1315559 2.1481399 3.0768779 2.0373308e-09 68.319683     -25.225865        -25.225865 1551.3629   1551.3629
      4     748.65994    0.010414599 3.0139075 0.97233189 0.022260069 0.11772455 1.0582351 0.044122113 3.3488814 1.8934725 6.7371813 2.1037214 5.1315559 2.1481399 3.0768779 2.0366828e-09 68.253229     -25.193045        -25.193045  1547.706    1547.706
      7     749.66765    0.010414632 3.0135967 0.97225704 0.022261564 0.11781085 1.0581096 0.044222454 3.3488814 1.8934725 6.7371813 2.1037214 5.1315559 2.1481399 3.0768779 2.0360499e-09 68.224587     -25.212303        -25.212303 1549.7599   1549.7599
      4     749.02243    0.010414632 3.0135967 0.97225704 0.022261564 0.11781085 1.0581096 0.044222454 3.3556347 1.8835795 6.7396682 2.1040286 5.1206599 2.1500909 3.0769782 2.0360499e-09 68.224587     -25.212303        -25.212303 1548.4695   1548.4695
      4     749.92191    0.010414351 3.0135528 0.97246369 0.022290805 0.11770653 1.0558856 0.044754349 3.3556347 1.8835795 6.7396682 2.1040286 5.1206599 2.1500909 3.0769782 2.0359605e-09 68.276681     -25.311232        -25.311232 1550.4663   1550.4663
     37     747.63934    0.010414503 3.0132225 0.97136628 0.022299592 0.11773704 1.0571191 0.043577514 3.3556347 1.8835795 6.7396682 2.1040286 5.1206599 2.1500909 3.0769782 2.0352881e-09 68.278073     -25.085227        -25.085227 1545.4491   1545.4491
     68     747.14938    0.010414414 3.0134945  0.9712204 0.022292086 0.11780674  1.057071 0.043092966 3.3556347 1.8835795 6.7396682 2.1040286 5.1206599 2.1500909 3.0769782 2.0358418e-09 68.243892     -24.984619        -24.984619  1544.268    1544.268
      9     746.71629    0.010414962 3.0129456 0.97114728  0.02226405 0.11810829 1.0380322 0.042417047 3.3556347 1.8835795 6.7396682 2.1040286 5.1206599 2.1500909 3.0769782 2.0347246e-09 68.131238     -24.836917        -24.836917 1543.1064   1543.1064
      4     748.07714    0.010415388 3.0124652  0.9715611 0.022278373 0.11774629 1.0409918 0.042793984 3.3556347 1.8835795 6.7396682 2.1040286 5.1206599 2.1500909 3.0769782 2.0337474e-09 68.286996     -24.920343        -24.920343  1545.995    1545.995
     16     750.19649    0.010415547 3.0130207 0.97073837 0.022289059  0.1178915 1.0444964 0.043245744 3.3556347 1.8835795 6.7396682 2.1040286 5.1206599 2.1500909 3.0769782 2.0348775e-09 68.249066     -25.016816        -25.016816 1550.4266   1550.4266
     34     748.30659    0.010415741 3.0136412 0.97155122 0.022289816 0.11780319 1.0423673 0.043494629 3.3556347 1.8835795 6.7396682 2.1040286 5.1206599 2.1500909 3.0769782 2.0361406e-09 68.287889      -25.06833         -25.06833 1546.7498   1546.7498
      2     748.34569    0.010415741 3.0136412 0.97155122 0.022289816 0.11780319 1.0423673 0.043494629 3.3558484 1.8837154 6.7400518 2.1039938 5.1232355 2.1501427 3.0770283 2.0361406e-09 68.287889      -25.06833         -25.06833  1546.828    1546.828
