#weight  minuslogpost  cosmomc_theta      logA         ns       ombh2      omch2      Alens         tau     a_tSZ     a_kSZ       a_p    beta_p       a_c    beta_c       a_s            As        H0  minuslogprior  minuslogprior__0      chi2  chi2__chi2
     13     709.11633    0.010407204 3.0721346  0.9640711 0.022460275 0.11856086 0.98211693 0.069816683 3.3811174 1.7853773 6.9694628 2.0580759 4.8210868 2.2378308 3.0740109 2.1587936e-09 67.871626     -23.954172        -23.954172  1466.141    1466.141
     20     708.70241    0.010407065 3.0725462 0.96386417 0.022453015 0.11849398 0.97969954  0.06965154 3.3811174 1.7853773 6.9694628 2.0580759 4.8210868 2.2378308 3.0740109 2.1596822e-09 67.884713     -24.001691        -24.001691 1465.4082   1465.4082
      3     708.68375    0.010407116 3.0725374 0.96400536 0.022459279 0.11850407 0.97753392 0.069567002 3.3811174 1.7853773 6.9694628 2.0580759 4.8210868 2.2378308 3.0740109 2.1596633e-09 67.888015     -24.025819        -24.025819 1465.4191   1465.4191
     33     709.20973    0.010407122 3.0718136 0.96406605 0.022454459 0.11827432 0.98355597 0.069590452 3.3811174 1.7853773 6.9694628 2.0580759 4.8210868 2.2378308 3.0740109 2.1581007e-09  67.96595      -24.01914         -24.01914 1466.4577   1466.4577
      7     710.02025    0.010406809 3.0720796 0.96394995 0.022444739 0.11816044  0.9838733 0.069344369 3.3811174 1.7853773 6.9694628 2.0580759 4.8210868 2.2378308 3.0740109 2.1586749e-09 67.988014     -24.088718        -24.088718 1468.2179   1468.2179
     95     710.22183    0.010406989 3.0718619 0.96435504  0.02245615 0.11834674 0.98488387 0.070151654 3.3811174 1.7853773 6.9694628 2.0580759 4.8210868 2.2378308 3.0740109 2.1582048e-09  67.93713     -23.856212        -23.856212 1468.1561   1468.1561
      5     709.95204    0.010407422 3.0714246 0.96341436 0.022432208 0.11809751  0.9739115 0.068565943 3.3811174 1.7853773 6.9694628 2.0580759 4.8210868 2.2378308 3.0740109 2.1572613e-09   68.0207      -24.30133         -24.30133 1468.5067   1468.5067
     19     709.79853     0.01040741 3.0714311 0.96345977 0.022430791  0.1180911 0.97383499 0.068837025 3.3811174 1.7853773 6.9694628 2.0580759 4.8210868 2.2378308 3.0740109 2.1572754e-09 68.021425      -24.22858         -24.22858 1468.0542   1468.0542
     17     709.81553    0.010407406 3.0714266 0.96345399 0.022430795 0.11809015  0.9738066 0.068844621 3.3811174 1.7853773 6.9694628 2.0580759 4.8210868 2.2378308 3.0740109 2.1572655e-09 68.021624     -24.226522        -24.226522 1468.0841   1468.0841
      6     710.15304    0.010407239 3.0729061 0.96210932 0.022442111 0.11838159 0.96858235 0.069198485 3.3811174 1.7853773 6.9694628 2.0580759 4.8210868 2.2378308 3.0740109 2.1604596e-09 67.921525     -24.129429        -24.129429 1468.5649   1468.5649
