#weight  minuslogpost  cosmomc_theta      logA        ns       ombh2      omch2     Alens            As        H0  minuslogprior  minuslogprior__0      chi2  chi2__chi2
1 2820.4539 0.010392169 3.0335526 1.0332469  0.01867414 0.13596734 0.94361574 2.0770893e-09  58.71947 -19.847797 -19.847797 5680.6033 5680.6033
2 2780.8092 0.010392671 3.0342321 1.0335672 0.018699759 0.13515603 0.94535887 2.0785011e-09 58.997613 -19.847797 -19.847797 5601.3141 5601.3141
2 2780.7414 0.010392624 3.0338811 1.0335612 0.018700786  0.1351581 0.94565297 2.0777717e-09 58.996292 -19.847797 -19.847797 5601.1783 5601.1783
1 2781.7962 0.010392538 3.0335272 1.0333726 0.018702168 0.13509464 0.94412387 2.0770364e-09 59.013696 -19.847797 -19.847797 5603.2879 5603.2879
2 2780.7714 0.010392459 3.0331832 1.0329053 0.018706489 0.13525633  0.9458262 2.0763221e-09  58.96582 -19.847797 -19.847797 5601.2383 5601.2383
3 2766.3231  0.01039209 3.0346696 1.0327335 0.018713168  0.1353155 0.94061554 2.0794106e-09 58.941394 -19.847797 -19.847797 5572.3417 5572.3417
1 2754.4566 0.010392124 3.0341898 1.0323201 0.018724331 0.13533842  0.9326992 2.0784131e-09 58.943964 -19.847797 -19.847797 5548.6088 5548.6088
1  2747.669 0.010393227 3.0357321 1.0331429 0.018719272 0.13513972 0.92654493 2.0816211e-09 59.034692 -19.847797 -19.847797 5535.0335 5535.0335
2 2741.0832 0.010393334     3.036 1.0328552 0.018725276 0.13504399  0.9295749  2.082179e-09 59.071397 -19.847797 -19.847797  5521.862  5521.862
7 2731.1422 0.010395137 3.0327592 1.0338663 0.018731558 0.13560004 0.93841343  2.075442e-09 58.965916 -19.847797 -19.847797   5501.98   5501.98
1 2727.5222  0.01039511 3.0332582   1.03418 0.018729873 0.13556038 0.93074715 2.0764778e-09 58.975667 -19.847797 -19.847797   5494.74   5494.74
1 2721.3381 0.010395757 3.0349327 1.0340644 0.018728552 0.13569736 0.93288359 2.0799579e-09 58.954048 -19.847797 -19.847797 5482.3717 5482.3717
2 2709.7055 0.010396441   3.03453 1.0326244 0.018746352 0.13539592 0.92964948 2.0791204e-09 59.079406 -19.847797 -19.847797 5459.1067 5459.1067
3 2669.0856 0.010395938 3.0345215  1.032793 0.018772526 0.13613594 0.92559672 2.0791027e-09 58.861758 -19.847797 -19.847797 5377.8668 5377.8668
1 2659.9151 0.010396126 3.0329208 1.0347545 0.018781804 0.13643477 0.93436635 2.0757773e-09 58.785692 -19.847797 -19.847797 5359.5257 5359.5257
4 2660.5918 0.010396074 3.0327925 1.0346803  0.01878184 0.13643401 0.93437415  2.075511e-09 58.784328 -19.847797 -19.847797 5360.8792 5360.8792
1 2645.0295 0.010396286 3.0323971 1.0343688 0.018795531 0.13662014 0.92988729 2.0746905e-09 58.746022 -19.847797 -19.847797 5329.7545 5329.7545
2 2640.7775 0.010396357 3.0325972 1.0342666 0.018795408 0.13643617 0.92523534 2.0751058e-09 58.802809 -19.847797 -19.847797 5321.2506 5321.2506
2 2616.4435  0.01039697  3.034348 1.0359645 0.018819479 0.13600641 0.93739809 2.0787419e-09 58.968348 -19.847797 -19.847797 5272.5826 5272.5826
1 2614.0122 0.010397668 3.0341661 1.0337127 0.018817891 0.13591124 0.94226099 2.0783639e-09 59.017614 -19.847797 -19.847797   5267.72   5267.72
3  2604.103 0.010397861 3.0342149 1.0333556 0.018825404 0.13583166  0.9417121 2.0784652e-09 59.053153 -19.847797 -19.847797 5247.9016 5247.9016
1 2602.9443 0.010397955 3.0342927 1.0335454 0.018825101 0.13583422 0.94047907  2.078627e-09 59.055131 -19.847797 -19.847797 5245.5842 5245.5842
1 2596.8749 0.010397661 3.0335023 1.0332814 0.018831973 0.13618311 0.93504793 2.0769847e-09 58.946854 -19.847797 -19.847797 5233.4454 5233.4454
3 2587.0357 0.010396763 3.0341742 1.0353536 0.018844897 0.13604466 0.93597342 2.0783808e-09 58.969556 -19.847797 -19.847797 5213.7669 5213.7669
1 2568.4894 0.010395786 3.0346373 1.0362109 0.018869606 0.13536124  0.9341341 2.0793434e-09 59.161995 -19.847797 -19.847797 5176.6745 5176.6745
1 2562.5372 0.010395593 3.0350259 1.0358354 0.018870538 0.13545006 0.92841423 2.0801518e-09  59.12994 -19.847797 -19.847797   5164.77   5164.77
1 2531.5603 0.010396621 3.0311285  1.035217 0.018880308 0.13526884 0.91727369 2.0720602e-09 59.224232 -19.847797 -19.847797 5102.8162 5102.8162
1 2515.6007 0.010397108 3.0318384 1.0356319 0.018889761 0.13538282 0.91739884 2.0735317e-09 59.212523 -19.847797 -19.847797 5070.8971 5070.8971
