#weight  minuslogpost  cosmomc_theta      logA         ns       ombh2      omch2     Alens         tau     a_tSZ     a_kSZ       a_p    beta_p       a_c    beta_c       a_s            As        H0  minuslogprior  minuslogprior__0      chi2  chi2__chi2
      7     724.24494    0.010409843 3.0336718 0.96679564  0.02232981 0.12007538 1.0193972 0.050406846 3.3116048 1.5379878 7.0475656 2.0613327 4.7986384 2.2176261 3.1252664 2.0773368e-09 67.318747      -26.03457         -26.03457  1500.559    1500.559
     13      724.3767    0.010409843 3.0336718 0.96679564  0.02232981 0.12007538 1.0193972 0.050406846 3.3113256 1.5382306 7.0463677 2.0616414 4.8005103 2.2180182 3.1251934 2.0773368e-09 67.318747      -26.03457         -26.03457 1500.8225   1500.8225
     15     724.46702    0.010409843 3.0336718 0.96679564  0.02232981 0.12007538 1.0193972 0.050406846 3.3021512 1.5608494 7.0369873 2.0622462 4.7655202 2.2227955 3.1253309 2.0773368e-09 67.318747      -26.03457         -26.03457 1501.0032   1501.0032
     17     724.61315    0.010409843 3.0336718 0.96679564  0.02232981 0.12007538 1.0193972 0.050406846 3.2972938  1.572676 7.0389084 2.0612251 4.7603277 2.2257976 3.1267416 2.0773368e-09 67.318747      -26.03457         -26.03457 1501.2954   1501.2954
     45     723.16691    0.010409358 3.0334313 0.96635661 0.022341925 0.11989406 1.0260194 0.050158058 3.2972938  1.572676 7.0389084 2.0612251 4.7603277 2.2257976 3.1267416 2.0768374e-09 67.375963     -26.015347        -26.015347 1498.3645   1498.3645
      3     723.09367    0.010409358 3.0334313 0.96635661 0.022341925 0.11989406 1.0260194 0.050158058 3.2971032 1.5737998 7.0386923 2.0612391 4.7610485 2.2260436 3.1268151 2.0768374e-09 67.375963     -26.015347        -26.015347  1498.218    1498.218
      6      724.7187    0.010409358 3.0334313 0.96635661 0.022341925 0.11989406 1.0260194 0.050158058 3.3165746 1.6124833 7.0365456 2.0605159 4.7228937 2.2438734 3.1180452 2.0768374e-09 67.375963     -26.015347        -26.015347 1501.4681   1501.4681
      5      722.9479    0.010409358 3.0334313 0.96635661 0.022341925 0.11989406 1.0260194 0.050158058 3.2864956 1.5962849 7.0670396 2.0608585 4.7317469 2.2242666 3.1225067 2.0768374e-09 67.375963     -26.015347        -26.015347 1497.9265   1497.9265
     56     721.60693       0.010409 3.0342391 0.96398829 0.022379303 0.11994018  1.027267 0.049373694 3.2864956 1.5962849 7.0670396 2.0608585 4.7317469 2.2242666 3.1225067 2.0785156e-09 67.378697     -25.947138        -25.947138 1495.1081   1495.1081
     25      721.4967       0.010409 3.0342391 0.96398829 0.022379303 0.11994018  1.027267 0.049373694  3.284684 1.6238928 7.0411597 2.0583694 4.7827743 2.2259896 3.1222729 2.0785156e-09 67.378697     -25.947138        -25.947138 1494.8877   1494.8877
      3     721.16339       0.010409 3.0342391 0.96398829 0.022379303 0.11994018  1.027267 0.049373694  3.290935 1.6019027 7.0413411 2.0637915 4.7608135 2.2260825 3.1224497 2.0785156e-09 67.378697     -25.947138        -25.947138  1494.221    1494.221
     20     723.30664       0.010409 3.0342391 0.96398829 0.022379303 0.11994018  1.027267 0.049373694 3.2906536 1.6422659  7.025833 2.0642516 4.7949453 2.2133689 3.1225458 2.0785156e-09 67.378697     -25.947138        -25.947138 1498.5076   1498.5076
      1       723.048       0.010409 3.0342391 0.96398829 0.022379303 0.11994018  1.027267 0.049373694 3.2893938  1.603404 7.0263172 2.0604902 4.8309868 2.2110547 3.1222474 2.0785156e-09 67.378697     -25.947138        -25.947138 1497.9903   1497.9903
      4       722.898       0.010409 3.0342391 0.96398829 0.022379303 0.11994018  1.027267 0.049373694 3.2792528 1.5991399  7.031446 2.0614419 4.8296164 2.2094054 3.1243813 2.0785156e-09 67.378697     -25.947138        -25.947138 1497.6903   1497.6903
