# l Dl_TT Dl_TE Dl_TB Dl_ET Dl_BT Dl_EE Dl_EB Dl_BE Dl_BB
7.050000000000000000e+01 2.021737922688193976e+03 -7.365750621026024625e+00 -7.641934886679522254e-01 -6.778395920647458439e+00 -1.355862858421487127e-01 3.691938969127583348e-01 5.729484135825465424e-03 -1.464157041092064952e-02 5.098197422936431161e-03
1.065000000000000000e+02 2.991326528884059371e+03 -2.500165096232771944e+01 -7.311435317626391317e-02 -2.628417769045030639e+01 -3.638831727556822160e-01 7.825591553362049035e-01 2.902274713082128588e-02 1.520682110245436154e-02 -2.220136416146094305e-02
1.425000000000000000e+02 4.212482206758601933e+03 -4.631144446093189515e+01 -1.130612666342807549e+00 -4.564440395285862451e+01 -7.019807171379458532e-01 1.206764944888279345e+00 2.730658471997248621e-02 2.485000397614156586e-02 8.705510266498465294e-03
1.785000000000000000e+02 5.322955474824640987e+03 -3.766363438153789645e+01 1.403390577739039857e-01 -3.727835207617287949e+01 5.568602719325793649e-01 8.477199260805058367e-01 1.321826763497225415e-03 -1.120012328576383033e-02 2.973580108875081840e-02
2.145000000000000000e+02 5.746111238145591415e+03 5.452322415969035774e+00 3.493013939243284627e-01 5.300411616490342759e+00 7.611046803827336005e-01 8.126936332020520126e-01 -1.620062240142272625e-02 -2.580998193123563988e-02 1.766731095069909441e-02
2.505000000000000000e+02 5.513967632515776131e+03 6.515599261758964644e+01 -2.749230125079842879e-01 6.523965115722482722e+01 -3.028490337923773201e-01 2.565596882702489978e+00 -4.572906600080967054e-02 -2.687911556793406292e-02 2.401323971216867692e-02
2.865000000000000000e+02 4.511546901511457691e+03 1.126835079900430117e+02 -1.367437606377654991e+00 1.119002014793598221e+02 -1.210220664006147251e+00 6.866410147465590086e+00 -7.112979012127754186e-02 -7.997291202552592182e-02 2.123038613222995308e-02
3.225000000000000000e+02 3.313571123495265965e+03 1.172983787650794909e+02 7.976075806618387887e-01 1.160519863749008778e+02 6.209809785320090647e-01 1.321828347168524331e+01 3.885590693365121445e-02 3.221275210968260749e-02 2.994520103030857278e-02
3.585000000000000000e+02 2.315000591158268435e+03 7.847080375777414929e+01 -2.576641209088825768e-02 7.846470497612043005e+01 -6.113652558656194058e-01 1.907936037881823665e+01 3.556037217327134847e-02 -3.421916385133753902e-02 3.658817111444464393e-02
3.945000000000000000e+02 1.787537846973746582e+03 7.082371740837738905e+00 -6.850599189925908883e-01 7.237187277309580224e+00 -5.865943977751510996e-01 2.096523659793375316e+01 2.411897384315100229e-03 2.294646873273421123e-02 3.310498239913713808e-02
4.305000000000000000e+02 1.779707890594280343e+03 -4.772410918672988345e+01 1.861419660353242078e-01 -4.773829425355144451e+01 5.940406107954296910e-01 1.923199563747198582e+01 -8.552657160306986750e-02 -3.436518218921546380e-02 3.728621460161044010e-02
4.665000000000000000e+02 2.135248289497385031e+03 -7.324716848831508287e+01 8.504384345291524649e-01 -7.290179913772058740e+01 4.364216180256597077e-01 1.315477952076267698e+01 -2.863514179054815756e-02 -6.207988949300316528e-02 3.665619624090548506e-02
5.025000000000000000e+02 2.454842936722790000e+03 -5.471762936091194263e+01 -7.295319176460612898e-01 -5.379746392318200066e+01 -5.878057657649425893e-01 8.107788361903439878e+00 -1.364862125686867704e-03 1.373859485398366484e-02 7.193873625374544445e-02
5.385000000000000000e+02 2.566561761943464262e+03 -1.286992455219512621e+01 7.084289317256085017e-01 -1.300602505997125213e+01 9.013680135042598240e-02 7.562021381302097112e+00 8.394666463099021217e-03 -1.233784436830923786e-03 9.845601122623104384e-02
5.745000000000000000e+02 2.394885104019373102e+03 2.066122702324329197e+01 3.400099059396633483e-01 2.058714927472901124e+01 -3.396172753757156215e-01 1.297806978172427428e+01 4.305899236423528509e-02 3.144370717739086024e-02 8.615286503695181175e-02
6.105000000000000000e+02 2.113400710833573612e+03 2.583566937344252068e+01 3.176316993244997500e-01 2.548117432426466777e+01 5.485875729530630129e-02 2.260449841331137577e+01 -2.476497915877369504e-02 -7.345931623983764647e-02 6.052641883325548394e-02
6.465000000000000000e+02 1.882588078921626447e+03 -1.317658087730630356e+01 3.034837128194100009e-01 -1.201137302677949492e+01 2.802719800377925230e-01 3.253900389417579220e+01 -2.841673312324444201e-02 -4.072816841236283347e-02 9.463208804815773090e-02
6.825000000000000000e+02 1.809903598843660347e+03 -7.048230842524142759e+01 4.177102834867257863e-01 -6.982093239845379173e+01 9.132346093102705620e-01 3.777377899583096621e+01 2.396608996864912910e-02 2.034586057615452893e-03 6.355651060486250392e-02
7.185000000000000000e+02 1.968824585268014744e+03 -1.175624611974622837e+02 -8.853589504584233882e-01 -1.172648750429069935e+02 -2.516391936525502748e-01 3.478568383202017600e+01 -6.180964497031446458e-02 -5.276764039324570443e-02 8.244690094893705745e-02
