# l Dl_TT Dl_TE Dl_TB Dl_ET Dl_BT Dl_EE Dl_EB Dl_BE Dl_BB
7.050000000000000000e+01 2.014883582021853272e+03 -4.785898421733130625e+00 -5.538310826843640955e-01 -1.105635824539893264e+01 1.520623904527503290e-01 3.431802079331741639e-01 -4.531363108779582621e-02 -2.733619509465200562e-03 -1.026039323132263426e-04
1.065000000000000000e+02 2.891901020851600151e+03 -2.620642309304182049e+01 6.074085730650751191e-01 -2.657601253935632002e+01 3.199865545925969279e+00 9.123588529775539246e-01 -2.802382322200275971e-02 2.070360066917774355e-02 -4.809745271887558293e-03
1.425000000000000000e+02 4.066668601866857898e+03 -4.490074722704405019e+01 -1.594243497485288152e-01 -4.249863387324514008e+01 1.510957269158231808e+00 1.118703859450190130e+00 -4.507694910862045101e-03 -2.153534228965955227e-02 3.642240029683453673e-02
1.785000000000000000e+02 5.184051219172609308e+03 -3.654228529909133272e+01 4.853271814933334261e-01 -3.759934834492035804e+01 1.731290804391788507e-01 8.532625292488744684e-01 4.425783640082272402e-02 1.981659915828813678e-02 7.300417582575578768e-02
2.145000000000000000e+02 5.576052165469968713e+03 5.581292398110726083e+00 -3.511756754119487844e+00 5.444962099404372147e+00 -1.636621702058993488e+00 7.971553756115560274e-01 -1.483742939479802334e-02 -1.906317233830004398e-02 1.871539931838287624e-02
2.505000000000000000e+02 5.475829072416931012e+03 6.547904556511562646e+01 4.320053420706284619e+00 6.644968623774734340e+01 1.752403359247160619e+00 2.541316479893846569e+00 4.403117758501116225e-02 2.739092008911259146e-02 2.787333173822865301e-02
2.865000000000000000e+02 4.647005835633673996e+03 1.142465577015493068e+02 -2.299806452652442434e+00 1.143234009216173916e+02 -8.726137774979152439e-01 7.185301841733847894e+00 -5.636547384663570526e-02 7.883949877560059161e-02 2.217136169140048602e-02
3.225000000000000000e+02 3.355137116163051360e+03 1.081932898053943006e+02 -1.271407540071547215e+00 1.121297472859312450e+02 1.291716934642580750e+00 1.310904244102649052e+01 -7.879847268397979776e-02 1.889267118168135723e-02 2.726607888795467768e-02
3.585000000000000000e+02 2.339470801170234608e+03 7.622336870386615715e+01 -6.522722327099468309e-01 7.576336262749806849e+01 2.341664531786176728e-01 1.930308247899093033e+01 9.955538133270050438e-02 3.321026303684088132e-02 4.621287173729787812e-02
3.945000000000000000e+02 1.805254425131869993e+03 6.735746850673123731e+00 3.429117322892109021e-01 8.298070880698361407e+00 6.700497370974625722e-03 2.158172004691695633e+01 -1.106140402230872122e-01 -1.019828540927106286e-02 4.314160916114297140e-02
4.305000000000000000e+02 1.808044657123038633e+03 -4.792599681976331993e+01 7.195614728896934098e-01 -4.685636454933196404e+01 -9.633245958798650199e-02 1.899201227691479943e+01 -1.695341924549564894e-03 5.726167658772267355e-02 8.712302086990345029e-02
4.665000000000000000e+02 2.148885240886263091e+03 -7.288894905238726096e+01 -1.826739617387880266e-01 -7.078141420170527454e+01 -1.980738832509673641e-01 1.349356170358919371e+01 -1.193996385402167071e-01 -6.464736182037798817e-02 8.514615408375356131e-02
5.025000000000000000e+02 2.465698745827319271e+03 -5.307166341899818462e+01 -1.315492407504861294e+00 -5.515946359359956830e+01 -6.824628598908484278e-01 7.898135206144523579e+00 -1.875236176170812924e-02 -5.229151561014182270e-02 1.007849773855778869e-01
5.385000000000000000e+02 2.600162248593053846e+03 -1.289457510738898804e+01 2.962993678504698636e+00 -1.228772377263486959e+01 -1.857054905453977556e-01 7.298903892530820059e+00 2.133487852785606598e-01 9.392322141317330231e-02 5.331602823798980983e-02
5.745000000000000000e+02 2.418089344996218188e+03 2.368959444225409428e+01 -1.912671320945361852e+00 2.419292213385085333e+01 1.022911563620874098e+00 1.332996953772657278e+01 -3.887375842762293143e-02 -6.543773174818273697e-02 9.340753752489921319e-03
6.105000000000000000e+02 2.108577750318268954e+03 2.218881506270658832e+01 -4.254203732255318338e-01 2.517317314544547813e+01 4.795587209477165103e-01 2.289825300048595480e+01 -3.026323519424225020e-02 1.228817398991402868e-02 1.402531278843291984e-01
6.465000000000000000e+02 1.864750772020431441e+03 -1.059012374691696046e+01 -5.326405556798511354e-01 -1.161771815287464804e+01 3.674848006457764882e-01 3.261409822952795423e+01 -1.297339376347458051e-01 -1.483810976068122844e-02 2.383847863085408400e-02
6.825000000000000000e+02 1.843136282667460819e+03 -7.026615554299149835e+01 1.102087757318056749e+00 -7.076820615275742909e+01 2.879039141068515106e-01 3.774492004398037182e+01 -4.043097225794757554e-02 -2.044833500468467014e-01 3.015481627575441331e-02
7.185000000000000000e+02 1.998587339100337886e+03 -1.171797983199999180e+02 6.042955277684014526e-01 -1.168674224635992402e+02 -3.504944795636361077e-02 3.484660245375815180e+01 -2.679736036188463122e-01 6.852887968657150886e-02 1.122182165202529058e-01
7.545000000000000000e+02 2.229477899060557320e+03 -1.311150984110131503e+02 6.944485299052227667e-01 -1.302571444834652539e+02 -1.673446092350346082e-01 2.665944509935919626e+01 -1.934661867094731313e-01 5.622944465480163995e-02 7.412591261800074993e-02
7.905000000000000000e+02 2.525163075551927250e+03 -1.018365763576784673e+02 -1.766672997642418363e-01 -1.044649741975917863e+02 4.477400384571852410e-01 1.707635883527464671e+01 6.578339826599319262e-02 -1.656687212795822026e-02 1.608577000072243524e-01
8.265000000000000000e+02 2.532409509620881181e+03 -4.088329746704248180e+01 2.026816191330344630e+00 -4.099726303909817915e+01 4.303565199618534787e-01 1.242377363297317316e+01 -2.153030076690571337e-01 -2.491292133615915713e-02 1.138560579529473149e-01
8.625000000000000000e+02 2.281410090465505164e+03 1.675591042809260500e+01 -1.704074204335481735e+00 1.706307005850825220e+01 6.289241166042303099e-01 1.482372162306493735e+01 -5.884944243040254180e-02 5.142575049534278686e-02 1.621983206048309700e-01
8.985000000000000000e+02 1.949395167448181837e+03 5.365970146403930130e+01 -3.989596791574162582e-01 5.355641806141507999e+01 -2.806639564020729782e-01 2.324363975647531788e+01 -5.613889812883621211e-02 -3.969318105602671898e-02 4.478721088931082728e-02
9.345000000000000000e+02 1.508783796929716118e+03 5.104897819921093571e+01 6.927451927480421379e-01 4.938991087292787086e+01 -2.280358439791985714e-01 3.413220045704592565e+01 1.359300061660160819e-01 -7.345968071071135030e-02 1.106427448029728977e-01
9.705000000000000000e+02 1.208090188207510664e+03 1.395790531295400783e+01 -5.924051845756789225e-02 1.217489526316312265e+01 -5.912282118350299376e-01 4.041251915327597288e+01 -1.827687090643200230e-01 5.421531878067702148e-02 1.218525478736430107e-01
1.006500000000000000e+03 1.058887738602003537e+03 -3.251141937978199792e+01 -7.237269954119582849e-01 -3.146279946313996234e+01 -1.951324069634514102e-01 4.132228240142379150e+01 -1.374160862046892861e-01 3.904157955650211509e-02 1.582080281958995749e-01
1.042500000000000000e+03 1.066058927316852078e+03 -6.572033642530362840e+01 -1.441757100329464913e-01 -6.791923139744291404e+01 -1.692607060717433998e-01 3.513549132573348288e+01 -5.300797164120907290e-03 -5.102384592755231096e-02 1.008111414902210373e-01
1.078500000000000000e+03 1.165609043805377496e+03 -7.594814454756243549e+01 -1.058872015525040844e+00 -7.605364566969878126e+01 1.041099885035182693e+00 2.598509289549004819e+01 3.149476251089903811e-01 1.878465072391942436e-02 1.485050030788113151e-01
1.114500000000000000e+03 1.228578972139716370e+03 -6.045696372653562634e+01 3.029921027291365698e-01 -5.945240112093532048e+01 8.038110250459530315e-01 1.695710536732379481e+01 9.310904145979154167e-02 1.041644328900997174e-01 2.138570251132201339e-01
1.150500000000000000e+03 1.215086251364570899e+03 -2.717922866898394574e+01 -1.362553603820363612e+00 -2.878610892350052808e+01 -1.151028564867455195e+00 1.353603836276942296e+01 2.120469018588680421e-02 2.342724845296854236e-02 7.907426790535813932e-02
1.186500000000000000e+03 1.116319814810088701e+03 -2.130837760615164278e+00 -1.225128447510634988e-01 -2.575930122485731388e+00 -3.183227015318711439e-01 1.515686974484759197e+01 -1.578163308592044761e-02 1.168194957977824744e-01 1.004975419499608974e-01
1.222500000000000000e+03 9.587540013288991076e+02 5.995570888266592569e+00 -9.953266575303293395e-01 5.706895944620187677e+00 -4.901824606944877871e-01 2.127821684280703352e+01 1.185923626113778995e-01 1.403666474819485754e-01 3.006353518688757720e-02
1.258500000000000000e+03 8.081878009202778230e+02 -4.911515452814668947e+00 -1.330539252651117832e-01 -5.504108211418449415e+00 1.034169894216636354e-01 2.772195571535450398e+01 -2.239662988009273881e-01 6.468298330037866584e-02 -9.932638110480942681e-03
1.294500000000000000e+03 7.385297468279271698e+02 -2.953329313558637281e+01 -1.589387598353197539e+00 -2.983740139978799988e+01 -1.171462753432041648e+00 3.080135304816773356e+01 -3.922435704232721254e-02 3.091668651612069496e-01 1.381024229936673453e-01
1.330500000000000000e+03 7.273126093629025490e+02 -4.862359679500850973e+01 8.013994870407674664e-01 -5.068638948818588830e+01 -8.243733204587552765e-02 2.855681272603734300e+01 2.708572205746662687e-01 -7.763947480181795924e-02 3.100952280943659878e-02
1.366500000000000000e+03 7.864313654209072411e+02 -6.134766406026585628e+01 -9.477695141197688411e-01 -6.202865143682851112e+01 3.076686830974570408e-01 2.303982162791729138e+01 1.430358252870454761e-01 -2.757343771107155783e-01 2.656324304108861889e-02
1.402500000000000000e+03 8.135691719882961479e+02 -5.377032698562187818e+01 8.550052058950332601e-01 -5.318540450053744451e+01 3.373256848834826349e-01 1.711821477056970053e+01 1.333472003580224441e-02 2.042124385847588208e-01 1.565916297566748439e-01
1.438500000000000000e+03 7.995307023832381219e+02 -3.420865450245723594e+01 1.120134578725897168e+00 -3.306218741446005538e+01 2.499588184909933286e-01 1.255907817082774258e+01 1.482873081037197616e-01 -2.785047490417769459e-02 1.055689139251650699e-01
1.474500000000000000e+03 7.533843425978748201e+02 -1.183650962344395907e+01 -2.847206179510699542e-01 -1.303703535876795883e+01 1.399389273426102642e-01 1.140379640768997049e+01 -2.960615222304213145e-01 -9.439570129261712350e-02 2.285981623674691876e-02
1.510500000000000000e+03 6.645686202140012711e+02 3.345239021046104710e+00 6.040070940174657732e-01 2.467500530395287051e+00 -4.990228980726281183e-01 1.399513246944137634e+01 -1.521657175532436790e-01 -2.679515278921629218e-02 -7.631141306173669370e-02
1.546500000000000000e+03 5.497390826554983505e+02 5.455929198059751073e+00 4.406461826813859450e-02 5.318393095235322221e+00 -1.698938112000578093e-01 1.704857987425408794e+01 -7.730225242969485100e-03 2.213776952772367190e-02 1.739001270397430576e-01
1.582500000000000000e+03 4.631568327884801874e+02 -1.157412113635094553e+00 9.784225505986116067e-01 -1.575698183266149632e+00 -1.943104129062528107e-01 1.970143297145509820e+01 -1.655741079833186746e-02 -2.477659414654493908e-01 -7.471284002106295952e-02
1.618500000000000000e+03 4.100419996592484040e+02 -1.524173881171925515e+01 4.200729043771765370e-01 -1.291071054123264972e+01 -3.260741340698321000e-01 2.059181385964770783e+01 -2.707219213259013380e-01 -4.372423017277126539e-02 1.620387658563600675e-01
1.654500000000000000e+03 3.933940500769288064e+02 -2.482577034311132991e+01 4.923260412707367584e-01 -2.527526107486142593e+01 -2.303615624279142238e-01 1.802480132746278585e+01 1.782533990121763778e-02 -1.393178423199211702e-01 2.812612037358356298e-01
1.690500000000000000e+03 3.994688586021464971e+02 -2.860811628231936510e+01 1.094575569726039310e+00 -2.958486948970972463e+01 1.780794612532055066e-03 1.480913440306132500e+01 4.976514770697409995e-03 5.559663612690556728e-02 1.463170186391384575e-01
1.726500000000000000e+03 4.050465759325130648e+02 -2.706655937980993087e+01 3.163448712268061569e-01 -2.715479237730713180e+01 -1.676965638924833024e-01 1.096090796342565810e+01 -6.991515382121535338e-02 -4.008101172348113583e-02 -4.995947264941845954e-03
1.762500000000000000e+03 3.913882881782690788e+02 -1.859871769534263919e+01 -6.184187607053917013e-01 -1.852749893725969343e+01 -6.050894866422932283e-01 8.280699934559418551e+00 2.964349900253854253e-01 2.032001137728375595e-01 -2.828696095095904056e-02
1.798500000000000000e+03 3.650788073845773170e+02 -8.974755173692674504e+00 1.039397464623293965e+00 -1.011653002065989781e+01 9.559564384999458264e-02 8.234650324232383412e+00 -1.969370954916852545e-01 9.239323494976239837e-02 -1.387885593731457423e-01
1.834500000000000000e+03 3.281443144425028322e+02 -5.504430275081812596e+00 1.197378509966653404e+00 -6.256912363135342048e+00 -4.162994902697897404e-02 9.006385173413015366e+00 -9.891307185426896631e-02 8.240284409374558361e-02 -2.701815491343800835e-02
1.870500000000000000e+03 2.834357147247556554e+02 -5.513664400301731661e+00 3.416432146523452618e-01 -5.480376618873885164e+00 -8.511769509503042119e-02 1.052791079198823354e+01 -2.822807781995426701e-01 2.437159061058773168e-02 3.356217595477798410e-01
1.906500000000000000e+03 2.574131170245535714e+02 -1.046442325949651675e+01 -1.619608208765374313e-01 -9.451158562886597281e+00 -5.457383277972348984e-02 1.117309734734973858e+01 3.045455346309915989e-01 -1.733718706001534382e-01 -9.294489400399882917e-03
1.942500000000000000e+03 2.420825629744536229e+02 -1.480909722761342451e+01 2.080495937446516508e-01 -1.491046086789268443e+01 -2.608924280107718929e-01 1.061224223308226122e+01 1.342330344208863546e-01 1.281789310226497808e-02 -2.749302066369651021e-01
1.978500000000000000e+03 2.414576327480350244e+02 -1.696675998295227572e+01 3.198751090886891579e-01 -1.751933889922815624e+01 2.995067125061396940e-01 9.770950484734591157e+00 -3.052127948945650149e-02 3.243301284542229879e-02 2.292335166236035282e-01
2.014500000000000000e+03 2.434551409521947960e+02 -1.838515140477663579e+01 3.830652262939389652e-01 -1.784731491925148106e+01 -7.663932781407247763e-01 7.858086054359317174e+00 3.904823251773532899e-02 3.007498972485166400e-01 6.494131637107443400e-02
2.050500000000000000e+03 2.351451163636017725e+02 -1.361397801397972529e+01 2.208716176158422306e-01 -1.489006275573640892e+01 5.488666051142893076e-01 6.486387268431704101e+00 1.906946513916224772e-01 2.814055458079943728e-01 6.600303962724096696e-02
2.086500000000000000e+03 2.264933346876314317e+02 -9.973920742996311262e+00 -1.163456150109862253e-01 -9.222007576741681589e+00 -4.812856877623451768e-02 5.404797299963167490e+00 -1.403829577429331898e-01 -1.435662787112079453e-01 -1.206231164162987340e-03
2.122500000000000000e+03 2.041207940091485398e+02 -5.609865800874253239e+00 1.143081695475954285e-01 -5.976814558282930179e+00 -4.077784289097957648e-01 4.984581239444307421e+00 -7.501932112553953702e-02 5.651639504730805730e-02 -1.039590963889347880e-01
