# l Dl_TT Dl_TE Dl_TB Dl_ET Dl_BT Dl_EE Dl_EB Dl_BE Dl_BB
7.050000000000000000e+01 1.931947980502565088e+03 -7.641256692793156446e+00 3.876927193221990642e-01 -7.641256692793156446e+00 3.876927193221990642e-01 3.752538005554274525e-01 1.232713278218924499e-02 1.232713278218925367e-02 -1.135742236914795943e-02
1.065000000000000000e+02 2.899063990651060521e+03 -2.791554647064471339e+01 -6.566081015759848150e-01 -2.791554647064471339e+01 -6.566081015759848150e-01 8.649075623746064201e-01 -2.389566427375146990e-02 -2.389566427375145602e-02 -4.689630672941895104e-03
1.425000000000000000e+02 4.125141982970693789e+03 -4.484028059328617388e+01 -3.699485298868158134e-01 -4.484028059328617388e+01 -3.699485298868158134e-01 1.136015588284080780e+00 -3.083659159913687206e-03 -3.083659159913687206e-03 -8.209566630425226517e-04
1.785000000000000000e+02 5.145583999242026039e+03 -3.606750110779547924e+01 9.278472553979341675e-02 -3.606750110779547924e+01 9.278472553979341675e-02 8.308944965109629210e-01 -1.210951850058545297e-02 -1.210951850058545297e-02 3.228148476071053801e-03
2.145000000000000000e+02 5.742385763118963951e+03 5.538366150730379189e+00 -4.921821143493976258e-02 5.538366150730379189e+00 -4.921821143493976258e-02 8.174844202888695843e-01 7.370204255062497156e-04 7.370204255062514503e-04 1.046163987440528256e-02
2.505000000000000000e+02 5.233655779733586314e+03 6.317549114731281179e+01 -2.755137035938414747e-01 6.317549114731281179e+01 -2.755137035938414747e-01 2.486630277167323655e+00 -9.879849325971024054e-03 -9.879849325971020585e-03 -1.373290589674217542e-03
2.865000000000000000e+02 4.575133720090016141e+03 1.097521037362889729e+02 4.638705998832638455e-01 1.097521037362889729e+02 4.638705998832638455e-01 6.859112260912435310e+00 -2.241326254868068399e-02 -2.241326254868069440e-02 1.096813811133936882e-02
3.225000000000000000e+02 3.356296051667342908e+03 1.141889091689225353e+02 4.956580896137957604e-01 1.141889091689225353e+02 4.956580896137957604e-01 1.320748117697883650e+01 2.971507706876424029e-02 2.971507706876424376e-02 3.464987330825818057e-02
3.585000000000000000e+02 2.242330821462792301e+03 7.463183464449798521e+01 3.260408646313310843e-01 7.463183464449798521e+01 3.260408646313310843e-01 1.883702842594001936e+01 2.535202390128307726e-02 2.535202390128307726e-02 2.359923048979465157e-02
3.945000000000000000e+02 1.788654039392830555e+03 9.824636225057547634e+00 -4.832772277187196153e-01 9.824636225057547634e+00 -4.832772277187196153e-01 2.160169437280716309e+01 -9.436641191394789727e-03 -9.436641191394793196e-03 5.791926578472859910e-02
4.305000000000000000e+02 1.807897010498199734e+03 -5.020764574011334958e+01 4.478702755156924731e-01 -5.020764574011334958e+01 4.478702755156924731e-01 1.947321283044677642e+01 -9.871141549400638815e-02 -9.871141549400637427e-02 5.519115025548339271e-02
4.665000000000000000e+02 2.103816912476065227e+03 -7.320343289636068107e+01 -6.324276179821409771e-01 -7.320343289636068107e+01 -6.324276179821409771e-01 1.330025920600367684e+01 9.030734930143577074e-03 9.030734930143577074e-03 8.356534837555341932e-02
5.025000000000000000e+02 2.472859384544687146e+03 -5.492726029883983330e+01 4.887142506994671676e-01 -5.492726029883983330e+01 4.887142506994671676e-01 8.126251088972601622e+00 -6.587310415021188290e-03 -6.587310415021179616e-03 5.016473486995615821e-02
5.385000000000000000e+02 2.575992180733775513e+03 -1.348497854499214554e+01 -2.625560535165577525e-02 -1.348497854499214554e+01 -2.625560535165577525e-02 7.406997937717505032e+00 4.277926667885742495e-02 4.277926667885743189e-02 7.343522846215301547e-02
5.745000000000000000e+02 2.497631817995161327e+03 2.474803382692784126e+01 -1.047252528529054594e+00 2.474803382692784126e+01 -1.047252528529054594e+00 1.310289979484638856e+01 -5.342090181600345211e-02 -5.342090181600344517e-02 7.023862608078998426e-02
