# l Dl_TT Dl_TE Dl_TB Dl_ET Dl_BT Dl_EE Dl_EB Dl_BE Dl_BB
7.050000000000000000e+01 2.706150526315931529e+03 -1.063800237749158129e+01 3.127922921837280157e+00 -1.063800237749158129e+01 3.127922921837280157e+00 1.086528662769115638e-01 2.085225353598803462e-03 2.085225353598802595e-03 7.045592973057823380e-03
1.065000000000000000e+02 3.733459841555555158e+03 -2.801127272603801543e+01 1.070802159226297845e-01 -2.801127272603801543e+01 1.070802159226297845e-01 7.809672887338163783e-01 5.785608311074729587e-02 5.785608311074730281e-02 1.491239821827451961e-01
1.425000000000000000e+02 3.428970440099301413e+03 -4.456298369070219678e+01 5.884897293407695962e+00 -4.456298369070219678e+01 5.884897293407695962e+00 1.378136547879603491e+00 1.988980461412757916e-02 1.988980461412752365e-02 -1.783754844344031254e-01
1.785000000000000000e+02 4.825234424887400564e+03 -3.226415173819106741e+01 3.725708888079214631e+00 -3.226415173819106741e+01 3.725708888079214631e+00 8.554665410072042064e-01 -4.797982430221335581e-02 -4.797982430221336275e-02 -5.127461703973087113e-03
2.145000000000000000e+02 5.810242185393420186e+03 6.385236313823876131e+00 5.440596559523472209e+00 6.385236313823876131e+00 5.440596559523472209e+00 7.249913985385286752e-01 -1.197787612806677435e-02 -1.197787612806676741e-02 1.208182411219710789e-01
2.505000000000000000e+02 5.457502653558385646e+03 6.344399326726029642e+01 1.795411359388247030e-01 6.344399326726029642e+01 1.795411359388247030e-01 2.150452931973975357e+00 -2.107498211137293076e-01 -2.107498211137294186e-01 2.141774389159125935e-01
2.865000000000000000e+02 4.640499461719588908e+03 1.100699277227607240e+02 -1.631876780163125762e+00 1.100699277227607240e+02 -1.631876780163125762e+00 6.841516206483387208e+00 -3.405641156829643940e-02 -3.405641156829644633e-02 1.433230811943509431e-01
3.225000000000000000e+02 3.299992691886772718e+03 1.149624834345777913e+02 -2.045326137970143066e+00 1.149624834345777913e+02 -2.045326137970143066e+00 1.319848795798541907e+01 -8.055744131676997877e-02 -8.055744131676990938e-02 3.212209622053377456e-02
3.585000000000000000e+02 2.248543621614696349e+03 7.587760147308142678e+01 9.114551262355999883e-01 7.587760147308142678e+01 9.114551262355999883e-01 1.884525492141067105e+01 -1.004167151479856551e-01 -1.004167151479856551e-01 7.538176605501456518e-02
3.945000000000000000e+02 1.840654423991600424e+03 1.253148450363224242e+01 1.476256707866752338e+00 1.253148450363224242e+01 1.476256707866752338e+00 2.137948239483313984e+01 -7.224363408206149750e-02 -7.224363408206146975e-02 -7.911133808130632605e-02
4.305000000000000000e+02 1.865751097174145798e+03 -4.956771354564716603e+01 -3.254577070744768541e+00 -4.956771354564716603e+01 -3.254577070744768541e+00 1.864248273473371498e+01 1.917003849476781041e-01 1.917003849476781596e-01 -3.918435289869117572e-02
4.665000000000000000e+02 2.086094049447715861e+03 -6.869901443620535986e+01 -1.167553323956127542e+00 -6.869901443620535986e+01 -1.167553323956127542e+00 1.370983812583205541e+01 1.343423346868730384e-01 1.343423346868730106e-01 8.308933256101316833e-02
5.025000000000000000e+02 2.490294098401609517e+03 -6.004149966488287760e+01 -2.425955154539878866e-01 -6.004149966488287760e+01 -2.425955154539878866e-01 8.303629985061258267e+00 7.795986224891381100e-02 7.795986224891385263e-02 7.861269176263888103e-02
5.385000000000000000e+02 2.579716398171416131e+03 -1.200013990143893494e+01 -3.763734525992101343e+00 -1.200013990143893494e+01 -3.763734525992101343e+00 7.243898673307779035e+00 2.140962747935443722e-01 2.140962747935444277e-01 8.093060968766342331e-03
5.745000000000000000e+02 2.424835955612043108e+03 1.945161032827686753e+01 5.433990526440586333e-01 1.945161032827686753e+01 5.433990526440586333e-01 1.331995688729276672e+01 -4.505483003868224201e-02 -4.505483003868225589e-02 -1.628589771180709023e-01
6.105000000000000000e+02 2.177842864464629656e+03 2.413973466156022596e+01 -1.469489622022908115e+00 2.413973466156022596e+01 -1.469489622022908115e+00 2.260188512453641962e+01 -9.122730683994079159e-03 -9.122730683994106915e-03 -1.762874286848636202e-02
6.465000000000000000e+02 1.896746589758722394e+03 -6.899685598583895185e+00 -3.682951826192178757e+00 -6.899685598583895185e+00 -3.682951826192178757e+00 3.249874417012290451e+01 -3.441488623784345197e-02 -3.441488623784340339e-02 -4.817013019777485056e-02
6.825000000000000000e+02 1.862595151656626513e+03 -7.496028506970658611e+01 -1.090551786378278765e+00 -7.496028506970658611e+01 -1.090551786378278765e+00 3.756990969057497409e+01 1.090439216970655878e-01 1.090439216970655600e-01 5.138321278303664696e-01
7.185000000000000000e+02 2.019961410858875070e+03 -1.208170916732048283e+02 -2.269614491947864465e+00 -1.208170916732048283e+02 -2.269614491947864465e+00 3.592412344554404768e+01 8.636357233428228197e-02 8.636357233428230973e-02 -3.409737262909300765e-02
7.545000000000000000e+02 2.273093144859059521e+03 -1.338800371767222259e+02 -5.260698213856735972e-01 -1.338800371767222259e+02 -5.260698213856735972e-01 2.704286516578906685e+01 -1.788986013737429714e-01 -1.788986013737429714e-01 -3.989650394787776222e-02
7.905000000000000000e+02 2.534713442493839921e+03 -9.817318817193475411e+01 1.142323236783228779e+00 -9.817318817193475411e+01 1.142323236783228779e+00 1.737703423515059953e+01 3.041489653816825123e-01 3.041489653816826788e-01 1.330373045395340792e-01
8.265000000000000000e+02 2.536674708289457158e+03 -4.319517320734888699e+01 1.756064414246191419e+00 -4.319517320734888699e+01 1.756064414246191419e+00 1.232498081489065100e+01 -6.783908402510430147e-02 -6.783908402510428759e-02 9.136790525123206219e-02
8.625000000000000000e+02 2.313217737025179304e+03 1.635163440341456109e+01 1.201630391249339791e+00 1.635163440341456109e+01 1.201630391249339791e+00 1.504119850436968520e+01 3.007584122650050484e-01 3.007584122650049929e-01 2.892074972295413660e-01
8.985000000000000000e+02 1.924107761952701367e+03 5.343517770704723802e+01 6.069068913641904039e-01 5.343517770704723802e+01 6.069068913641904039e-01 2.371509578355107450e+01 -1.635816949916908125e-01 -1.635816949916907848e-01 2.138404841872060813e-01
9.345000000000000000e+02 1.542406523556590855e+03 4.823012091412700642e+01 -1.431901465910107696e+00 4.823012091412700642e+01 -1.431901465910107696e+00 3.372683562012500857e+01 3.970783393460542987e-01 3.970783393460542432e-01 4.851977483182751821e-02
9.705000000000000000e+02 1.214308341301737983e+03 1.351729817426214453e+01 -8.512381276785343509e-01 1.351729817426214453e+01 -8.512381276785343509e-01 4.089570552954238991e+01 1.743000743904707384e-01 1.743000743904709049e-01 6.523344219730049520e-01
1.006500000000000000e+03 1.092159862086584781e+03 -3.445336889419259307e+01 -2.148789845627531170e-01 -3.445336889419259307e+01 -2.148789845627531170e-01 4.064347274671028742e+01 -6.782926357159052566e-02 -6.782926357159047015e-02 2.209861022459260194e-01
1.042500000000000000e+03 1.100596117130158291e+03 -6.365668573929897889e+01 -7.560820122333241633e-01 -6.365668573929897889e+01 -7.560820122333241633e-01 3.485460418271764382e+01 1.649338511045141120e-01 1.649338511045142508e-01 8.088365958119170251e-02
1.078500000000000000e+03 1.208981907386850935e+03 -7.721613907542617028e+01 -4.889885779351332840e-02 -7.721613907542617028e+01 -4.889885779351332840e-02 2.486242513094660112e+01 1.191860712327712929e-01 1.191860712327713484e-01 2.151741092995976268e-01
