# l Dl_TT Dl_TE Dl_TB Dl_ET Dl_BT Dl_EE Dl_EB Dl_BE Dl_BB
7.050000000000000000e+01 2.981392983295024806e+03 -6.855454661101447300e+00 1.276488541688385769e+00 -6.855454661101447300e+00 1.276488541688385769e+00 1.339731678562644801e-01 8.823172328009395993e-02 8.823172328009394605e-02 8.957130128388869628e-02
1.065000000000000000e+02 2.665213205249063776e+03 -2.796521632195965879e+01 4.497002814655987279e+00 -2.796521632195965879e+01 4.497002814655987279e+00 8.018771741541452780e-01 -5.726621343200732905e-02 -5.726621343200732211e-02 -8.908826975545222626e-02
1.425000000000000000e+02 3.711692200108229372e+03 -4.882402810109276459e+01 -4.475804042593742871e-01 -4.882402810109276459e+01 -4.475804042593742871e-01 9.555727969312607373e-01 1.165303288035549473e-01 1.165303288035549334e-01 1.451402738620228942e-02
1.785000000000000000e+02 5.043036318472880339e+03 -3.658132233685346080e+01 -2.338020817484376401e+00 -3.658132233685346080e+01 -2.338020817484376401e+00 7.914716752155377399e-01 9.823609419444695456e-02 9.823609419444698232e-02 6.871390214808960339e-02
2.145000000000000000e+02 5.306230187285561442e+03 6.196592154125695195e-01 1.130817081608715746e+00 6.196592154125695195e-01 1.130817081608715746e+00 7.194184159351152408e-01 3.033657730591803742e-02 3.033657730591804089e-02 8.905248631712052443e-02
2.505000000000000000e+02 5.460735601110790412e+03 6.358886583280435900e+01 2.613093357970226016e+00 6.358886583280435900e+01 2.613093357970226016e+00 2.510016260519940534e+00 4.734645655922846419e-02 4.734645655922847807e-02 1.981752683621280237e-02
2.865000000000000000e+02 4.540631625739800256e+03 1.060024712012746591e+02 -4.874454738812257659e+00 1.060024712012746591e+02 -4.874454738812257659e+00 6.971705274924601348e+00 2.487932139850482782e-01 2.487932139850482227e-01 -4.724811074514497639e-02
3.225000000000000000e+02 3.348164495086863099e+03 1.146061672506196487e+02 -1.697450417054051641e+00 1.146061672506196487e+02 -1.697450417054051641e+00 1.363806165597477715e+01 -1.080668675417223168e-01 -1.080668675417222613e-01 6.265988209304274026e-02
3.585000000000000000e+02 2.309037271691895967e+03 7.541358829658608443e+01 7.385469554420656113e-01 7.541358829658608443e+01 7.385469554420656113e-01 1.895963305346832684e+01 8.100122538822104867e-02 8.100122538822104867e-02 -7.863765758845410458e-02
3.945000000000000000e+02 1.856731151559024511e+03 7.405630384003080380e+00 -5.570412135014559674e+00 7.405630384003080380e+00 -5.570412135014559674e+00 2.133244733209330590e+01 -2.944482853945010747e-01 -2.944482853945010747e-01 1.432999557929267309e-01
4.305000000000000000e+02 1.828421173252474773e+03 -4.835827047043183313e+01 -2.146341459169731625e-02 -4.835827047043183313e+01 -2.146341459169731625e-02 1.930893908752266697e+01 -1.536206792651645114e-01 -1.536206792651645392e-01 7.817556421944280021e-02
4.665000000000000000e+02 2.121252543559480728e+03 -6.602522152135557576e+01 -6.656343163536894147e-01 -6.602522152135557576e+01 -6.656343163536894147e-01 1.312145026832442518e+01 2.211779461382618051e-02 2.211779461382624296e-02 -9.066923477765645445e-02
5.025000000000000000e+02 2.480038723776332972e+03 -5.796995273299368989e+01 9.323155037756252206e-01 -5.796995273299368989e+01 9.323155037756252206e-01 8.033009841934017459e+00 1.357156120039073044e-01 1.357156120039073322e-01 -1.072315699650330245e-01
5.385000000000000000e+02 2.582114430257255663e+03 -1.662513337673651392e+01 -9.953052056700738559e-01 -1.662513337673651392e+01 -9.953052056700738559e-01 7.439529308306440214e+00 4.431317349783458343e-02 4.431317349783459036e-02 3.970380828567472709e-02
5.745000000000000000e+02 2.514595984430344743e+03 2.083622244971522264e+01 -1.863239090983687340e+00 2.083622244971522264e+01 -1.863239090983687340e+00 1.267508898109655213e+01 -2.247973173329682051e-01 -2.247973173329682051e-01 2.560712227901092986e-01
6.105000000000000000e+02 2.196322067615785727e+03 3.192244869014988851e+01 -1.279013028659650608e+00 3.192244869014988851e+01 -1.279013028659650608e+00 2.227469660155465192e+01 2.841024831265250850e-01 2.841024831265251405e-01 2.542685299700814805e-01
6.465000000000000000e+02 1.847276526456652391e+03 -1.231405758203049672e+01 -9.852834763054134637e-01 -1.231405758203049672e+01 -9.852834763054134637e-01 3.218579669434021184e+01 2.036514381447295657e-02 2.036514381447294270e-02 3.241634474974657842e-01
6.825000000000000000e+02 1.778164029919611721e+03 -6.649185525277752618e+01 -1.157336590119946385e+00 -6.649185525277752618e+01 -1.157336590119946385e+00 3.752956412601074732e+01 3.506324458075525397e-01 3.506324458075524286e-01 -1.233430199099607855e-01
7.185000000000000000e+02 1.991304585865023000e+03 -1.149747803886337749e+02 1.124946493507589462e+00 -1.149747803886337749e+02 1.124946493507589462e+00 3.479076700480906226e+01 1.365153201509860248e-01 1.365153201509861636e-01 -7.161004218052681447e-02
7.545000000000000000e+02 2.242083340499161295e+03 -1.325152941859291502e+02 -5.752197287207988508e-01 -1.325152941859291502e+02 -5.752197287207988508e-01 2.634889557257564263e+01 -2.366565772334444824e-03 -2.366565772334446559e-03 -1.222705978547970751e-01
7.905000000000000000e+02 2.521814513519690081e+03 -1.030982929226317708e+02 -4.492252625101068597e-01 -1.030982929226317708e+02 -4.492252625101068597e-01 1.740207850836539905e+01 -8.333023572612469065e-02 -8.333023572612469065e-02 -7.989861719734249468e-02
8.265000000000000000e+02 2.580081823245385749e+03 -4.380603429937612248e+01 1.647975763270686622e+00 -4.380603429937612248e+01 1.647975763270686622e+00 1.209031814269661886e+01 -2.670371850070895475e-02 -2.670371850070894781e-02 2.350430213176313288e-01
8.625000000000000000e+02 2.346098352607806191e+03 2.024268068926492958e+01 3.807102140338357588e-01 2.024268068926492958e+01 3.807102140338357588e-01 1.543855105156428031e+01 -1.382628366976449419e-01 -1.382628366976449419e-01 1.237683728996911633e-02
8.985000000000000000e+02 1.915219329760741175e+03 5.235251298484901383e+01 7.870122161033528130e-01 5.235251298484901383e+01 7.870122161033528130e-01 2.304330419699362764e+01 -9.488424128662995005e-02 -9.488424128662981127e-02 2.905987870486800850e-01
9.345000000000000000e+02 1.562310878109504074e+03 5.208520545139202795e+01 2.330470239519661368e-01 5.208520545139202795e+01 2.330470239519661368e-01 3.318224969210256603e+01 3.534625641128610885e-01 3.534625641128611440e-01 -2.612296212723960731e-01
9.705000000000000000e+02 1.218982864059065378e+03 1.312850874806756352e+01 6.052798107942123362e-01 1.312850874806756352e+01 6.052798107942123362e-01 4.150528773480208855e+01 2.344705307750171996e-01 2.344705307750172829e-01 4.153447114413636454e-01
1.006500000000000000e+03 1.100677177926390414e+03 -3.139986819318690436e+01 1.666290561702731932e+00 -3.139986819318690436e+01 1.666290561702731932e+00 4.142925391645433564e+01 1.562354079732313633e-02 1.562354079732314327e-02 2.223341360225690178e-01
1.042500000000000000e+03 1.106360033824872289e+03 -6.717052709998530702e+01 1.573784664170924108e-01 -6.717052709998530702e+01 1.573784664170924108e-01 3.517637568821567129e+01 -3.262197329709709548e-02 -3.262197329709709548e-02 1.581385771368653548e-01
1.078500000000000000e+03 1.197490033182092475e+03 -7.888633512658282143e+01 -2.190954514568646871e+00 -7.888633512658282143e+01 -2.190954514568646871e+00 2.545454025414300858e+01 1.858949568508291017e-01 1.858949568508292127e-01 1.408637920773418151e-01
1.114500000000000000e+03 1.258008477295523335e+03 -5.679070893741814530e+01 -4.448235861741500763e-01 -5.679070893741814530e+01 -4.448235861741500763e-01 1.669895464577726329e+01 3.569618712459151078e-01 3.569618712459150522e-01 -2.752393648772477053e-01
1.150500000000000000e+03 1.235093381722965205e+03 -3.141688641851231267e+01 5.691229466835088235e-01 -3.141688641851231267e+01 5.691229466835088235e-01 1.335427542940362322e+01 1.901701176991545672e-01 1.901701176991546505e-01 -1.132391378492717537e-01
1.186500000000000000e+03 1.135993997841373130e+03 -5.534505183635790360e+00 -6.536061051274374978e-02 -5.534505183635790360e+00 -6.536061051274374978e-02 1.646342779607459406e+01 1.046200392149578551e-01 1.046200392149578828e-01 -2.403359531194464715e-01
1.222500000000000000e+03 1.009100721376775482e+03 7.278530055062272908e+00 1.019885472831284501e+00 7.278530055062272908e+00 1.019885472831284501e+00 2.152720997338144215e+01 -3.597581420955290876e-01 -3.597581420955290321e-01 -4.884374709867696507e-01
1.258500000000000000e+03 8.519852598029708588e+02 -4.746157968191005772e+00 1.797821243450834716e+00 -4.746157968191005772e+00 1.797821243450834716e+00 2.782065831179944837e+01 2.369136305727242431e-01 2.369136305727242986e-01 4.285199126263252722e-01
1.294500000000000000e+03 7.778807065298725547e+02 -2.695069486842885453e+01 -1.514728770058011875e+00 -2.695069486842885453e+01 -1.514728770058011875e+00 2.972343884381938039e+01 2.668751620530296353e-02 2.668751620530285251e-02 2.405146757654635925e-01
1.330500000000000000e+03 7.691866432120586978e+02 -4.949139593586605201e+01 6.523646959737632312e-01 -4.949139593586605201e+01 6.523646959737632312e-01 2.740068238544703050e+01 -1.703887350577694137e-01 -1.703887350577694137e-01 4.080735304484227055e-01
1.366500000000000000e+03 8.167993640410581975e+02 -6.168191825638950121e+01 -8.518327862216313884e-01 -6.168191825638950121e+01 -8.518327862216313884e-01 2.495206637582939280e+01 1.104342921895681284e-01 1.104342921895681284e-01 -1.164241625527280971e-01
1.402500000000000000e+03 8.622417438513431307e+02 -5.405586871724472076e+01 1.202980236957500892e+00 -5.405586871724472076e+01 1.202980236957500892e+00 1.682382415471561998e+01 3.431797496000010828e-01 3.431797496000010828e-01 3.491770088557489271e-01
1.438500000000000000e+03 8.609803636291381963e+02 -3.466863246109980423e+01 -9.800441169809070985e-01 -3.466863246109980423e+01 -9.800441169809070985e-01 1.274616635811382892e+01 3.869640636627539321e-01 3.869640636627541541e-01 7.134164955353314852e-01
1.474500000000000000e+03 8.023997767834231354e+02 -1.190171371064688444e+01 6.908974165658098299e-01 -1.190171371064688444e+01 6.908974165658098299e-01 1.168668099474498234e+01 1.073928590027904695e-01 1.073928590027903862e-01 1.778467951826987747e-01
1.510500000000000000e+03 7.103258719100801954e+02 4.096966157451872093e+00 1.168633580624435231e-01 4.096966157451872093e+00 1.168633580624435231e-01 1.360063566293836423e+01 -5.194663962821139958e-01 -5.194663962821138847e-01 -4.054492363658967480e-01
1.546500000000000000e+03 6.071120960452699364e+02 4.109541882526837497e+00 -1.063776232387543264e-01 4.109541882526837497e+00 -1.063776232387543264e-01 1.666676955697915830e+01 4.541032321307582054e-01 4.541032321307583719e-01 -3.086135349424118379e-01
1.582500000000000000e+03 5.155422626814806790e+02 -1.628701875649344988e+00 5.314744170687923930e-01 -1.628701875649344988e+00 5.314744170687923930e-01 2.065818051189667059e+01 -1.755230270586069508e-01 -1.755230270586069785e-01 6.298441228911502709e-02
1.618500000000000000e+03 4.691326488938613011e+02 -1.704986729695880143e+01 1.675802108157270931e+00 -1.704986729695880143e+01 1.675802108157270931e+00 2.009368978220344815e+01 -3.124238351299724603e-01 -3.124238351299723493e-01 -2.015944479177562143e-01
1.654500000000000000e+03 4.629583028533447191e+02 -2.636832684228173918e+01 -1.270099414724682463e-01 -2.636832684228173918e+01 -1.270099414724682463e-01 1.801582353726530528e+01 7.438933613389347999e-02 7.438933613389359101e-02 -7.077972010765078981e-01
1.690500000000000000e+03 4.572389917547589562e+02 -3.090867477961195675e+01 -2.676879432557183192e-01 -3.090867477961195675e+01 -2.676879432557183192e-01 1.400084706388657629e+01 -2.223360542992633138e-01 -2.223360542992632305e-01 -1.584850922748625573e-02
1.726500000000000000e+03 4.739655943721966196e+02 -2.661345811374031811e+01 5.647100724507365666e-01 -2.661345811374031811e+01 5.647100724507365666e-01 1.032897795999170576e+01 2.177169307945091281e-02 2.177169307945091975e-02 1.057517228433770384e+00
1.762500000000000000e+03 4.647849388461132776e+02 -1.895294377003567377e+01 -5.127425955640911859e-01 -1.895294377003567377e+01 -5.127425955640911859e-01 8.101863218787865861e+00 1.147933890586231853e-01 1.147933890586231576e-01 -7.051083474741270951e-01
1.798500000000000000e+03 4.328188607931871275e+02 -1.137985818203333643e+01 -1.533004794811455129e+00 -1.137985818203333643e+01 -1.533004794811455129e+00 7.994611144459785379e+00 -8.386013427110317053e-02 -8.386013427110319829e-02 6.671338342531921706e-01
1.834500000000000000e+03 4.026922044171565744e+02 -5.413685490923502819e+00 3.162887334756891988e-01 -5.413685490923502819e+00 3.162887334756891988e-01 9.809517497695082966e+00 6.391009713681957694e-01 6.391009713681956583e-01 -2.167450619057978423e-01
1.870500000000000000e+03 3.558745600056324747e+02 -4.640963560690203771e+00 -1.195944246502323782e+00 -4.640963560690203771e+00 -1.195944246502323782e+00 9.878865569375113509e+00 -4.538976749808814048e-01 -4.538976749808815714e-01 -4.795358939382360353e-01
1.906500000000000000e+03 3.334520004865685223e+02 -8.535088351354096048e+00 -2.067907978531912327e+00 -8.535088351354096048e+00 -2.067907978531912327e+00 1.162526970351134992e+01 1.720421394024214679e-01 1.720421394024214123e-01 -3.912179603479837842e-01
1.942500000000000000e+03 3.160956743342839559e+02 -1.455494746635908143e+01 4.100222774086909050e-01 -1.455494746635908143e+01 4.100222774086909050e-01 1.060733777492444041e+01 -4.970227427708220902e-02 -4.970227427708225065e-02 -2.466019254892152512e-01
1.978500000000000000e+03 3.099542517924548974e+02 -1.820281730803808529e+01 -1.066263640251917000e+00 -1.820281730803808529e+01 -1.066263640251917000e+00 9.928865978319208807e+00 3.090040596352844338e-01 3.090040596352843782e-01 1.524212000301479741e-01
2.014500000000000000e+03 3.248070167753352848e+02 -1.736943622732066217e+01 1.340232265434317949e+00 -1.736943622732066217e+01 1.340232265434317949e+00 7.999406150156654682e+00 -3.261672267703147332e-01 -3.261672267703148442e-01 5.978575765523771457e-01
2.050500000000000000e+03 3.156531978645304548e+02 -1.392046470952457327e+01 -5.936324326239670324e-01 -1.392046470952457327e+01 -5.936324326239670324e-01 5.750771041344282963e+00 1.100512526163532678e+00 1.100512526163532678e+00 7.856479015060660043e-01
2.086500000000000000e+03 3.013063340749118879e+02 -9.263445646449268267e+00 1.689070792004148558e+00 -9.263445646449268267e+00 1.689070792004148558e+00 5.482944363475226623e+00 -3.332780630181209763e-02 -3.332780630181209069e-02 -8.891531227628255429e-01
2.122500000000000000e+03 2.909062168032824616e+02 -5.231663790764800481e+00 -6.653216161027991626e-02 -5.231663790764800481e+00 -6.653216161027991626e-02 4.848121746212542327e+00 -3.234997298350590911e-01 -3.234997298350587580e-01 6.775076476742161180e-01
2.158500000000000000e+03 2.627524806128020600e+02 -2.284631806370661433e+00 4.882049869277936827e-01 -2.284631806370661433e+00 4.882049869277936827e-01 5.776178134474725390e+00 -7.939277452388575629e-01 -7.939277452388573408e-01 -7.890097512004204949e-01
2.207000000000000000e+03 2.410104735593001806e+02 -3.349607963161226998e+00 -5.080216843940650318e-01 -3.349607963161226998e+00 -5.080216843940650318e-01 6.440614931224708961e+00 -4.393019932755898305e-01 -4.393019932755900525e-01 -2.545373043718575090e-01
2.268000000000000000e+03 2.200454259285869796e+02 -7.049637589448848551e+00 3.298581531130029276e-01 -7.049637589448848551e+00 3.298581531130029276e-01 6.201800047229185431e+00 -1.443511809824306047e-01 -1.443511809824304382e-01 6.639773881821459112e-01
2.329000000000000000e+03 2.186306963571599624e+02 -6.377461052251464757e+00 2.176162293841610751e+00 -6.377461052251464757e+00 2.176162293841610751e+00 3.650344625683363819e+00 -5.006238906449499149e-02 -5.006238906449499149e-02 3.683050391297307269e-02
2.390000000000000000e+03 2.174672674128471215e+02 -4.901733926624145532e+00 1.086055395585371119e+00 -4.901733926624145532e+00 1.086055395585371119e+00 3.869711775651648811e+00 -2.222044437967022334e-01 -2.222044437967020669e-01 5.760882716218121979e-01
2.451000000000000000e+03 2.050472534028312452e+02 -2.566420761813493101e+00 1.432966195826722799e+00 -2.566420761813493101e+00 1.432966195826722799e+00 3.106105360739776167e+00 -8.252635992470210013e-02 -8.252635992470208626e-02 -2.360444668593660589e-01
2.512000000000000000e+03 1.953310846300651633e+02 -3.162773060656041579e+00 -1.210441298911070884e+00 -3.162773060656041579e+00 -1.210441298911070884e+00 2.752381584248917434e+00 3.118791612779878153e-01 3.118791612779879818e-01 -6.881258498842898197e-01
2.573000000000000000e+03 1.872872733933077711e+02 -3.857208361986143696e+00 -8.665431963009490035e-02 -3.857208361986143696e+00 -8.665431963009490035e-02 2.695617951229708709e+00 2.345797464314608449e-01 2.345797464314607617e-01 3.291061571629995131e-01
2.634000000000000000e+03 1.866325865101382533e+02 -4.480507044578597942e+00 -5.374818039292840188e-01 -4.480507044578597942e+00 -5.374818039292840188e-01 2.041143716240589434e+00 2.274150246535861647e-02 2.274150246535861647e-02 3.685019035518552477e-01
2.695000000000000000e+03 1.854311166655058685e+02 -3.421559716978448407e+00 2.020720215228570815e-01 -3.421559716978448407e+00 2.020720215228570815e-01 1.131875732894060516e+00 -8.015679586925114064e-01 -8.015679586925112954e-01 1.782615687369831226e-01
2.756000000000000000e+03 1.821757939668691790e+02 -2.779760210574806933e+00 4.458120407410270936e-01 -2.779760210574806933e+00 4.458120407410270936e-01 9.437157666260309608e-01 -2.514388337609766433e-01 -2.514388337609765878e-01 7.000732195128797075e-01
2.817000000000000000e+03 1.796293913649259082e+02 -8.548667005376915373e-01 -1.330556078804391751e+00 -8.548667005376915373e-01 -1.330556078804391751e+00 1.370707437492076908e+00 5.305768715787770873e-01 5.305768715787770873e-01 -4.450827285964225610e-01
2.878000000000000000e+03 1.788449815441217936e+02 -8.046022549601501428e-01 -9.216201775369593507e-01 -8.046022549601501428e-01 -9.216201775369593507e-01 5.512010733250680694e-01 -4.149797827259371630e-02 -4.149797827259373018e-02 1.118167790141801676e+00
2.939000000000000000e+03 1.771555468326491791e+02 -1.977220631634438286e+00 -1.418574132444313796e-01 -1.977220631634438286e+00 -1.418574132444313796e-01 7.968382880770192855e-01 -8.189271237077204724e-01 -8.189271237077203613e-01 -5.117901612430856423e-02
3.000000000000000000e+03 1.778877688228382965e+02 -1.051664310563914295e+00 3.920368231218786526e-01 -1.051664310563914295e+00 3.920368231218786526e-01 1.494388771099601554e+00 -8.542512268899593586e-02 -8.542512268899585259e-02 3.192914095123828289e-01
3.061000000000000000e+03 1.795917124218882748e+02 -4.604885725080444248e-01 -1.276570151901844419e+00 -4.604885725080444248e-01 -1.276570151901844419e+00 3.587486305589688840e-01 -1.546443073797602041e-01 -1.546443073797601486e-01 4.246216795084371137e-02
3.122000000000000000e+03 1.814850463860455250e+02 -1.819717178115209499e+00 9.427382728932343081e-01 -1.819717178115209499e+00 9.427382728932343081e-01 3.323877507392143382e-01 -7.681388475944634919e-01 -7.681388475944630478e-01 8.319045926908126276e-01
3.183000000000000000e+03 1.835908958803721305e+02 -7.340716136421218119e-01 1.054401183354368166e-01 -7.340716136421218119e-01 1.054401183354368166e-01 -2.942689814954253524e-01 8.219128772588333298e-01 8.219128772588333298e-01 -1.567852893144673576e+00
3.244000000000000000e+03 1.852140308301439688e+02 -6.570047208541509587e-01 -2.435101044939975423e-01 -6.570047208541509587e-01 -2.435101044939975423e-01 6.680890431986322708e-01 -2.038738377814931502e-01 -2.038738377814930947e-01 -1.139772493852804769e-01
3.305000000000000000e+03 1.913312277469817673e+02 6.467378429698513731e-01 1.610977870278858859e+00 6.467378429698513731e-01 1.610977870278858859e+00 1.652898977137919223e+00 -9.754340006211195124e-01 -9.754340006211201786e-01 -6.492778953104452189e-01
3.366000000000000000e+03 1.937067781425672024e+02 -1.338138891632421501e+00 -2.419333581754903317e-01 -1.338138891632421501e+00 -2.419333581754903317e-01 -1.015463923289828152e+00 1.078912019743078821e+00 1.078912019743078377e+00 1.962080170755555464e-01
3.447000000000000000e+03 1.978833138505935381e+02 -1.093551257431538470e+00 5.590994861052831499e-01 -1.093551257431538470e+00 5.590994861052831499e-01 1.003556921266589574e+00 -1.210236863835765009e+00 -1.210236863835764787e+00 -1.893573791273075457e-01
3.548000000000000000e+03 2.042142090849891929e+02 -4.821366165308966778e-01 -9.210899850816023360e-03 -4.821366165308966778e-01 -9.210899850816023360e-03 8.374843623756589306e-01 -1.182278700617977740e-01 -1.182278700617978018e-01 -3.837799436913459927e-01
3.649000000000000000e+03 2.103964745826295655e+02 2.025341748363227445e-01 6.616413902553489601e-01 2.025341748363227445e-01 6.616413902553489601e-01 3.823406749488792999e-01 7.989636652630374147e-01 7.989636652630374147e-01 4.229518160602608323e-01
3.750000000000000000e+03 2.177619221858550986e+02 -1.032492747112413678e+00 -1.094222925503312682e+00 -1.032492747112413678e+00 -1.094222925503312682e+00 1.274584844815635165e+00 -1.473669067042686631e+00 -1.473669067042686631e+00 -8.874435175669642684e-01
3.851000000000000000e+03 2.255915981955061511e+02 -6.529046434301839508e-01 -1.093237333285995261e+00 -6.529046434301839508e-01 -1.093237333285995261e+00 -6.514018618882813083e-01 1.723211546508299774e-01 1.723211546508299774e-01 -1.653131756188041812e-01
3.952000000000000000e+03 2.349558493513895883e+02 -1.309332493194612923e-01 -2.945545937610649645e-03 -1.309332493194612923e-01 -2.945545937610649645e-03 1.509346981303508528e+00 -5.971164028499886811e-02 -5.971164028499892362e-02 5.064891984011418158e-01
