#weight  minuslogpost  cosmomc_theta      logA         ns       ombh2      omch2      Alens         tau     a_tSZ     a_kSZ       a_p    beta_p       a_c    beta_c       a_s            As        H0  minuslogprior  minuslogprior__0      chi2  chi2__chi2
      5     709.18199     0.01040532 3.0786931 0.95726418 0.022369947 0.12131183 0.92891309 0.068236035 3.2306002  2.016899 6.8227183 2.0798399 4.9058736 2.2195303 3.1033542 2.1729986e-09 66.771644     -24.388008        -24.388008   1467.14     1467.14
     41     709.18183    0.010405348 3.0787212 0.95729648 0.022371038 0.12129105 0.92854861 0.068247238 3.2306002  2.016899 6.8227183 2.0798399 4.9058736 2.2195303 3.1033542 2.1730595e-09  66.78064     -24.385098        -24.385098 1467.1338   1467.1338
      7     709.09103    0.010405348 3.0787212 0.95729648 0.022371038 0.12129105 0.92854861 0.068247238 3.2329743 2.0176891 6.8252487 2.0795291 4.9078758 2.2201264 3.1036957 2.1730595e-09  66.78064     -24.385098        -24.385098 1466.9523   1466.9523
      2      708.7595    0.010405555 3.0790357 0.95787744 0.022347158 0.12127452 0.92775671 0.068640367 3.2329743 2.0176891 6.8252487 2.0795291 4.9078758 2.2201264 3.1036957 2.1737431e-09 66.773541     -24.281494        -24.281494  1466.082    1466.082
     11     708.04055    0.010405555 3.0790357 0.95787744 0.022347158 0.12127452 0.92775671 0.068640367 3.2303059 2.0080295 6.8230636 2.0806404 4.9114295 2.2207246 3.1024165 2.1737431e-09 66.773541     -24.281494        -24.281494 1464.6441   1464.6441
     13     709.45657    0.010405555 3.0790357 0.95787744 0.022347158 0.12127452 0.92775671 0.068640367 3.2223791 2.0080193  6.827617 2.0824967 4.9145223 2.2194471 3.0998489 2.1737431e-09 66.773541     -24.281494        -24.281494 1467.4761   1467.4761
      1     709.30484     0.01040558 3.0790582 0.95792082  0.02235089 0.12133365 0.92693002 0.068309979 3.2223791 2.0080193  6.827617 2.0824967 4.9145223 2.2194471 3.0998489 2.1737919e-09 66.757056     -24.368758        -24.368758 1467.3472   1467.3472
     22     710.34131    0.010405607 3.0792432 0.95817058  0.02235044 0.12132045 0.92807978 0.068103638 3.2223791 2.0080193  6.827617 2.0824967 4.9145223 2.2194471 3.0998489 2.1741942e-09 66.762134     -24.422219        -24.422219  1469.527    1469.527
     23     711.93791    0.010405695 3.0801184 0.95710255 0.022325018 0.12112864 0.93258289 0.068300664 3.2223791 2.0080193  6.827617 2.0824967 4.9145223 2.2194471 3.0998489 2.1760978e-09  66.81031     -24.371189        -24.371189 1472.6182   1472.6182
     16       711.926    0.010405695 3.0801184 0.95710255 0.022325018 0.12112864 0.93258289 0.068300664 3.2223212 2.0079859 6.8276117 2.0824738  4.914543 2.2194457 3.0998597 2.1760978e-09  66.81031     -24.371189        -24.371189 1472.5944   1472.5944
      4     713.82201     0.01040441 3.0802582 0.95387605 0.022388495 0.12179115 0.92683012 0.066883792 3.2223212 2.0079859 6.8276117 2.0824738  4.914543 2.2194457 3.0998597 2.1764021e-09 66.591821     -24.721943        -24.721943 1477.0879   1477.0879
     31     713.34127    0.010404482 3.0802752 0.95382392 0.022388605 0.12182053 0.92569828 0.066934966 3.2223212 2.0079859 6.8276117 2.0824738  4.914543 2.2194457 3.0998597 2.1764391e-09 66.584248      -24.70993         -24.70993 1476.1024   1476.1024
     61     712.33429    0.010404432 3.0802582 0.95400827 0.022395251 0.12175529 0.92617949 0.067467393 3.2223212 2.0079859 6.8276117 2.0824738  4.914543 2.2194457 3.0998597 2.1764021e-09 66.610459     -24.582032        -24.582032 1473.8326   1473.8326
     28     710.43059    0.010404432 3.0802582 0.95400827 0.022395251 0.12175529 0.92617949 0.067467393  3.244153 2.0134701 6.8005199 2.0893201 4.9102519  2.209916 3.0912262 2.1764021e-09 66.610459     -24.582032        -24.582032 1470.0252   1470.0252
     27     709.46068    0.010404518 3.0808441  0.9545681 0.022402894 0.12198378 0.92347199 0.067796427  3.244153 2.0134701 6.8005199 2.0893201 4.9102519  2.209916 3.0912262 2.1776777e-09 66.541332     -24.500333        -24.500333  1467.922    1467.922
      8     709.40207    0.010404539 3.0808342 0.95467261 0.022401947 0.12196423 0.92296681 0.067824839  3.244153 2.0134701 6.8005199 2.0893201 4.9102519  2.209916 3.0912262  2.177656e-09 66.547958     -24.493183        -24.493183 1467.7905   1467.7905
     46     708.79465    0.010404582 3.0804642 0.95500774 0.022408466 0.12215687 0.92242385 0.068168799  3.244153 2.0134701 6.8005199 2.0893201 4.9102519  2.209916 3.0912262 2.1768504e-09 66.488898     -24.405422        -24.405422 1466.4001   1466.4001
     51     709.10564     0.01040448 3.0789516 0.95547941 0.022419898 0.12227952 0.92519971 0.067599964  3.244153 2.0134701 6.8005199 2.0893201 4.9102519  2.209916 3.0912262 2.1735604e-09 66.453074     -24.549359        -24.549359   1467.31     1467.31
      6      709.1476     0.01040448 3.0789516 0.95547941 0.022419898 0.12227952 0.92519971 0.067599964 3.2445858 2.0129051 6.7983764  2.089291 4.9076081 2.2127124 3.0905583 2.1735604e-09 66.453074     -24.549359        -24.549359 1467.3939   1467.3939
     29     708.68987     0.01040506 3.0791553   0.957199 0.022389347 0.12184898 0.92589134 0.067730351 3.2445858 2.0129051 6.7983764  2.089291 4.9076081 2.2127124 3.0905583  2.174003e-09 66.594384     -24.516902        -24.516902 1466.4136   1466.4136
 18 708.79523 0.010405071 3.0791379 0.95723807 0.022389618 0.12183332 0.92634128 0.067722442 3.2445858 2.0129051 6.7983764  2.089291 4.9076081 2.2127124 3.0905583 2.1739652e-09 66.600324  -24.51888  -24.51888 1466.6282 1466.6282
  6 709.36813 0.010404963 3.0791786 0.95731459  0.02238911 0.12180092 0.92663229 0.067697484 3.2445858 2.0129051 6.7983764  2.089291 4.9076081 2.2127124 3.0905583 2.1740538e-09 66.607422 -24.525114 -24.525114 1467.7865 1467.7865
  6 709.67075 0.010406033 3.0816704 0.96004367 0.022364753 0.12146647 0.92702935 0.069895671 3.2445858 2.0129051 6.7983764  2.089291 4.9076081 2.2127124 3.0905583 2.1794778e-09 66.737883 -23.931262 -23.931262  1467.204  1467.204
