#weight  minuslogpost  cosmomc_theta      logA         ns       ombh2      omch2      Alens         tau     a_tSZ     a_kSZ       a_p    beta_p       a_c    beta_c       a_s            As        H0  minuslogprior  minuslogprior__0      chi2  chi2__chi2
      7      744.0699    0.010411126 3.0547041 0.96652788 0.022288928 0.12031762  0.9542535 0.060032559 3.3801682 1.6522802 6.9421852 2.0881868  4.916204 2.1581437 3.0876471 2.1214908e-09 67.243321     -25.886508        -25.886508 1539.9128   1539.9128
     12     743.86551    0.010411161 3.0547152 0.96653191 0.022289162 0.12037548 0.95393767 0.060258272 3.3801682 1.6522802 6.9421852 2.0881868  4.916204 2.1581437 3.0876471 2.1215142e-09  67.22452     -25.862173        -25.862173 1539.4554   1539.4554
      6     743.74528    0.010411161 3.0547152 0.96653191 0.022289162 0.12037548 0.95393767 0.060258272 3.3787718 1.6490082 6.9415957 2.0894915 4.9170114 2.1588052 3.0881658 2.1215142e-09  67.22452     -25.862173        -25.862173 1539.2149   1539.2149
      5      744.1717     0.01041107 3.0549506 0.96657026 0.022289687 0.12035702  0.9526322 0.060545795 3.3787718 1.6490082 6.9415957 2.0894915 4.9170114 2.1588052 3.0881658 2.1220138e-09 67.228341     -25.829789        -25.829789  1540.003    1540.003
     47     743.62471    0.010411252 3.0546007 0.96682668 0.022292817 0.12032416 0.95478626 0.060389831 3.3787718 1.6490082 6.9415957 2.0894915 4.9170114 2.1588052 3.0881658 2.1212714e-09 67.248449     -25.847548        -25.847548 1538.9445   1538.9445
     36      743.9083    0.010411273 3.0545412  0.9669756 0.022295905 0.12034985 0.95449457    0.060652 3.3787718 1.6490082 6.9415957 2.0894915 4.9170114 2.1588052 3.0881658 2.1211452e-09 67.242737     -25.817435        -25.817435 1539.4515   1539.4515
      4     743.62226    0.010411355 3.0550835 0.96696805 0.022304459 0.12023458 0.95465914  0.06069197 3.3787718 1.6490082 6.9415957 2.0894915 4.9170114 2.1588052 3.0881658 2.1222958e-09 67.292759     -25.812731        -25.812731   1538.87     1538.87
     11     743.66449    0.010411332  3.055179 0.96681648 0.022303262 0.12024289 0.95523683  0.06040906 3.3787718 1.6490082 6.9415957 2.0894915 4.9170114 2.1588052 3.0881658 2.1224984e-09 67.288118     -25.845383        -25.845383 1539.0198   1539.0198
      1     744.23978    0.010411332  3.055179 0.96681648 0.022303262 0.12024289 0.95523683  0.06040906  3.417308 1.6227519 6.9245124 2.0880762 4.9730548 2.1474638 3.0879882 2.1224984e-09 67.288118     -25.845383        -25.845383 1540.1703   1540.1703
    128      742.3978    0.010411332  3.055179 0.96681648 0.022303262 0.12024289 0.95523683  0.06040906 3.4117269 1.6391444 6.9036064 2.0935507 4.9938559 2.1435703 3.0893405 2.1224984e-09 67.288118     -25.845383        -25.845383 1536.4864   1536.4864
     13     742.51536    0.010411127 3.0563254 0.96603283 0.022311673 0.12017742 0.94945539 0.060989855 3.4117269 1.6391444 6.9036064 2.0935507 4.9938559 2.1435703 3.0893405 2.1249331e-09 67.311055     -25.776727        -25.776727 1536.5842   1536.5842
     14     741.82552    0.010411127 3.0563254 0.96603283 0.022311673 0.12017742 0.94945539 0.060989855 3.4089706 1.6343702 6.8937057 2.0933313 4.9999257 2.1445785 3.0893603 2.1249331e-09 67.311055     -25.776727        -25.776727 1535.2045   1535.2045
