#weight  minuslogpost  cosmomc_theta      logA         ns       ombh2      omch2      Alens            As        H0  minuslogprior  minuslogprior__0      chi2  chi2__chi2
      1     1371.5233    0.010437686 3.0908921 0.92564866 0.022865538 0.13275298 0.91095073 2.1996693e-09 64.532891     -19.847797        -19.847797 2782.7422   2782.7422
      7     1364.3452    0.010437551 3.0912923 0.92566811 0.022863259 0.13262959 0.91270388 2.2005497e-09 64.564566     -19.847797        -19.847797 2768.3859   2768.3859
      1     1365.2261    0.010437526 3.0912925 0.92557119 0.022863955  0.1327132 0.90969344 2.2005502e-09 64.538518     -19.847797        -19.847797 2770.1477   2770.1477
      1     1358.7395    0.010437272 3.0906866  0.9256854 0.022862101 0.13270482 0.90953748 2.1992173e-09 64.531132     -19.847797        -19.847797 2757.1746   2757.1746
      4     1359.1071    0.010437096 3.0877789 0.92907147 0.022875741 0.13263958 0.92705043  2.192832e-09 64.556998     -19.847797        -19.847797 2757.9098   2757.9098
      4     1337.3634    0.010436596 3.0881537 0.92928693 0.022875975 0.13235611 0.92613778  2.193654e-09 64.628297     -19.847797        -19.847797 2714.4224   2714.4224
      2       1336.64     0.01043641 3.0892513 0.93086506 0.022878335 0.13246037 0.91336862 2.1960631e-09 64.591862     -19.847797        -19.847797 2712.9755   2712.9755
      2     1322.3913    0.010436838  3.088795 0.93024137 0.022867992 0.13216105 0.90708408 2.1950611e-09  64.68999     -19.847797        -19.847797 2684.4783   2684.4783
      1     1310.3485    0.010436391 3.0882064  0.9306168 0.022862172 0.13209514 0.91126849 2.1937696e-09 64.690657     -19.847797        -19.847797 2660.3926   2660.3926
      1     1306.0451    0.010436214 3.0886897 0.93004192 0.022862958 0.13203381 0.91211598   2.19483e-09 64.704496     -19.847797        -19.847797 2651.7859   2651.7859
      4     1304.9521    0.010436279 3.0887587  0.9300923  0.02286103 0.13196705 0.91145388 2.1949814e-09 64.725764     -19.847797        -19.847797 2649.5998   2649.5998
      1     1301.0605    0.010435848 3.0882328 0.92922723 0.022858742 0.13211706 0.91729987 2.1938275e-09 64.662943     -19.847797        -19.847797 2641.8165   2641.8165
      1     1293.6074    0.010435458 3.0881075 0.93055735  0.02285813 0.13197723 0.92145662 2.1935526e-09 64.692908     -19.847797        -19.847797 2626.9105   2626.9105
      3      1281.238    0.010435041 3.0873984 0.93102364 0.022853569  0.1321417 0.91485473 2.1919977e-09 64.624194     -19.847797        -19.847797 2602.1717   2602.1717
      1     1266.3546    0.010434896 3.0863329 0.93042158 0.022856952 0.13188231 0.91292389 2.1896635e-09 64.702794     -19.847797        -19.847797 2572.4049   2572.4049
      1     1258.6602    0.010435244 3.0866395  0.9299782 0.022850218  0.1313685 0.90777995 2.1903349e-09  64.86878     -19.847797        -19.847797 2557.0159   2557.0159
      2     1227.5459    0.010433725 3.0858058 0.92916539 0.022848567 0.13130625 0.90069642 2.1885094e-09 64.836485     -19.847797        -19.847797 2494.7874   2494.7874
      1     1226.9271    0.010433599 3.0845919 0.92919347  0.02283974 0.13118984 0.90904562 2.1858545e-09 64.861239     -19.847797        -19.847797 2493.5498   2493.5498
      1     1219.9813    0.010433447 3.0853204  0.9290283 0.022840273 0.13115122  0.9114657 2.1874475e-09 64.868722     -19.847797        -19.847797 2479.6582   2479.6582
      3     1219.4418    0.010433429 3.0849393 0.92909316 0.022849607 0.13104241 0.91267751 2.1866139e-09  64.91012     -19.847797        -19.847797 2478.5791   2478.5791
2 1212.4065  0.01043313 3.0850507 0.92888498 0.022845036 0.13100424 0.91449874 2.1868575e-09   64.9083 -19.847797 -19.847797 2464.5086 2464.5086
3 1208.6728 0.010433022  3.085182 0.92877304 0.022850358 0.13090507 0.91541845 2.1871447e-09 64.940327 -19.847797 -19.847797 2457.0411 2457.0411
1    1207.5 0.010432916 3.0845127 0.92928436 0.022854985 0.13096343 0.91970454 2.1856813e-09 64.922433 -19.847797 -19.847797 2454.6956 2454.6956
2  1202.426 0.010432812 3.0859216 0.93024005 0.022846427 0.13103839 0.92461755  2.188763e-09 64.888208 -19.847797 -19.847797 2444.5477 2444.5477
1 1199.8737 0.010432746 3.0862325 0.93061723 0.022850632 0.13095703 0.92337246 2.1894436e-09 64.915112 -19.847797 -19.847797  2439.443  2439.443
1 1198.1936 0.010432785  3.086055 0.93074642 0.022848862  0.1308908 0.92355234 2.1890549e-09 64.935672 -19.847797 -19.847797 2436.0827 2436.0827
