#weight  minuslogpost  cosmomc_theta      logA         ns       ombh2      omch2     Alens            As        H0  minuslogprior  minuslogprior__0      chi2  chi2__chi2
1 835.79848 0.010408795 3.0036972  0.9945607 0.022758483 0.10716147 1.2830719 2.0159934e-09 72.485838 -19.847797 -19.847797 1711.2926 1711.2926
3 834.90457 0.010409111 3.0040625 0.99452117 0.022765923 0.10747697 1.2833244 2.0167301e-09 72.375622 -19.847797 -19.847797 1709.5047 1709.5047
1 834.08831 0.010409087  3.002647 0.99142197 0.022774434 0.10725329 1.2765476 2.0138774e-09 72.471878 -19.847797 -19.847797 1707.8722 1707.8722
1 827.08285 0.010409648 3.0039343 0.99167546 0.022787034  0.1072564 1.2715271 2.0164715e-09  72.50024 -19.847797 -19.847797 1693.8613 1693.8613
1 826.88854 0.010409714 3.0042009  0.9914955 0.022785394  0.1072204 1.2724336 2.0170091e-09 72.515704 -19.847797 -19.847797 1693.4727 1693.4727
1 824.58973 0.010410187 3.0038439 0.99110241 0.022781864 0.10748081 1.2726538 2.0162893e-09 72.424115 -19.847797 -19.847797  1688.875  1688.875
2 825.83272 0.010409924 3.0040379 0.99043092 0.022798639 0.10765798  1.285022 2.0166804e-09 72.357676 -19.847797 -19.847797  1691.361  1691.361
1 825.03271 0.010410232  3.003766 0.99071107 0.022784986 0.10760619  1.286121 2.0161322e-09 72.377824 -19.847797 -19.847797  1689.761  1689.761
1 824.56784 0.010409807  3.004486 0.99120425 0.022782935 0.10764608 1.2932774 2.0175842e-09 72.345514 -19.847797 -19.847797 1688.8313 1688.8313
2 823.98174 0.010409867 3.0047438 0.99118245  0.02278279 0.10766627 1.2929881 2.0181046e-09 72.339371 -19.847797 -19.847797 1687.6591 1687.6591
1 824.40382 0.010409847 3.0039096 0.99175771 0.022781591 0.10814494 1.2921314 2.0164217e-09 72.146086 -19.847797 -19.847797 1688.5032 1688.5032
7 824.75661 0.010410286 3.0034114 0.99134438 0.022786391 0.10832771 1.2931187 2.0154175e-09 72.092207 -19.847797 -19.847797 1689.2088 1689.2088
1 824.67325 0.010410074 3.0035808 0.99146142 0.022787768 0.10835423 1.2909451 2.0157589e-09 72.075503 -19.847797 -19.847797 1689.0421 1689.0421
2 824.26218 0.010409939 3.0044538 0.99024308 0.022788393 0.10849516 1.2935917 2.0175194e-09 72.015317 -19.847797 -19.847797   1688.22   1688.22
1 823.62708 0.010409707 3.0047156 0.99031485  0.02277971 0.10841117 1.2943386 2.0180475e-09 72.033619 -19.847797 -19.847797 1686.9498 1686.9498
1 823.53727 0.010409766 3.0049883 0.99057003 0.022779558 0.10844247 1.2948066  2.018598e-09 72.023071 -19.847797 -19.847797 1686.7701 1686.7701
3 822.10923 0.010409952 3.0050826 0.99035758 0.022778238 0.10849984 1.2940859 2.0187883e-09 72.005556 -19.847797 -19.847797 1683.9141 1683.9141
1 819.51356 0.010410501 3.0057345 0.99080251 0.022778234  0.1081669 1.2934732 2.0201048e-09 72.157008 -19.847797 -19.847797 1678.7227 1678.7227
7 819.88665  0.01041061 3.0029212 0.99394214 0.022727393 0.10816658  1.294022 2.0144296e-09 72.119112 -19.847797 -19.847797 1679.4689 1679.4689
1 823.09608 0.010410727 3.0028689 0.99461059 0.022724454 0.10838364 1.2959397 2.0143242e-09 72.034176 -19.847797 -19.847797 1685.8877 1685.8877
5 821.43374 0.010410269 3.0028584 0.99386347 0.022726539 0.10833186 1.2931465 2.0143032e-09 72.040819 -19.847797 -19.847797 1682.5631 1682.5631
1 821.69193 0.010410257 3.0027812 0.99388192  0.02272686 0.10834798  1.293154 2.0141477e-09 72.034245 -19.847797 -19.847797 1683.0794 1683.0794
1 819.50929  0.01041146  3.005043  0.9947305 0.022741165 0.10786236 1.2773472 2.0187083e-09 72.281235 -19.847797 -19.847797 1678.7142 1678.7142
1 819.09967 0.010411328 3.0052252 0.99379169 0.022737396 0.10737381 1.2832309 2.0190763e-09 72.469917 -19.847797 -19.847797 1677.8949 1677.8949
2 820.74345 0.010410605 3.0078263 0.99077125 0.022762422 0.10765042 1.2847674  2.024335e-09 72.354335 -19.847797 -19.847797 1681.1825 1681.1825
1 820.66852   0.0104093 3.0083922 0.98849913 0.022728365 0.10762075 1.2604282 2.0254809e-09 72.293533 -19.847797 -19.847797 1681.0326 1681.0326
4 820.89148 0.010409198 3.0084291 0.98866402 0.022728982 0.10760702 1.2603503 2.0255556e-09 72.296042 -19.847797 -19.847797 1681.4786 1681.4786
3 818.63111 0.010408536 3.0079537 0.99053277 0.022704712 0.10782561 1.2517832 2.0245927e-09  72.16574 -19.847797 -19.847797 1676.9578 1676.9578
9  815.2813 0.010408995 3.0061443 0.99198566 0.022722564 0.10797386 1.2463397 2.0209328e-09 72.136762 -19.847797 -19.847797 1670.2582 1670.2582
4 816.51626 0.010408546 3.0060816 0.99122862 0.022721387 0.10801466 1.2492333 2.0208062e-09 72.104099 -19.847797 -19.847797 1672.7281 1672.7281
1 816.37169 0.010408573 3.0063009 0.99089744 0.022719586 0.10800695 1.2489298 2.0212494e-09 72.106611 -19.847797 -19.847797  1672.439  1672.439
2 816.12129 0.010408582 3.0063288 0.99093635 0.022719161 0.10801745 1.2490623 2.0213057e-09 72.102363 -19.847797 -19.847797 1671.9382 1671.9382
1 817.35833   0.0104091 3.0069975 0.99131188 0.022721802 0.10776447  1.253314 2.0226578e-09 72.223597 -19.847797 -19.847797 1674.4123 1674.4123
1 815.86639 0.010409056 3.0068592 0.99059789 0.022726871 0.10789919 1.2601416 2.0223782e-09 72.172278 -19.847797 -19.847797 1671.4284 1671.4284
3  815.4156 0.010409079 3.0065726  0.9905196  0.02272516  0.1079422 1.2626221 2.0217986e-09  72.15443 -19.847797 -19.847797 1670.5268 1670.5268
1 815.41928 0.010408714 3.0048991 0.99138287 0.022713749 0.10823064 1.2527536  2.018418e-09 72.017333 -19.847797 -19.847797 1670.5342 1670.5342
4 814.97054 0.010408598 3.0049927 0.99134619 0.022716771 0.10831622 1.2529958 2.0186068e-09 71.981731 -19.847797 -19.847797 1669.6367 1669.6367
1 816.41441  0.01040971 3.0020213 0.99417652 0.022714178 0.10854814 1.2534262 2.0126178e-09 71.925447 -19.847797 -19.847797 1672.5244 1672.5244
4 813.11366 0.010409834 3.0030401 0.99492245 0.022704535 0.10848078 1.2558882 2.0146692e-09  71.94855 -19.847797 -19.847797 1665.9229 1665.9229
7 809.82405 0.010409478   3.00551 0.99053608 0.022711712 0.10872323 1.2370124 2.0196514e-09 71.845976 -19.847797 -19.847797 1659.3437 1659.3437
4 810.31308 0.010409503 3.0054876 0.99048277 0.022712132 0.10870637  1.236807 2.0196062e-09 71.853862 -19.847797 -19.847797 1660.3218 1660.3218
1 810.59739 0.010409718 3.0046821 0.99095879 0.022711794 0.10896652 1.2365804   2.01798e-09 71.757916 -19.847797 -19.847797 1660.8904 1660.8904
2 809.01622  0.01041082 3.0059713 0.99013749 0.022714778 0.10900611 1.2168638 2.0205833e-09 71.782471 -19.847797 -19.847797  1657.728  1657.728
1 805.35582 0.010411174 3.0061917 0.99040633 0.022723963 0.10896519 1.2197757 2.0210286e-09 71.818308 -19.847797 -19.847797 1650.4072 1650.4072
6 802.25826 0.010411327 3.0062086 0.99137426 0.022719344 0.10885197  1.219247 2.0210629e-09 71.864552 -19.847797 -19.847797 1644.2121 1644.2121
1 799.51434  0.01041124 3.0070347 0.99122833 0.022727789 0.10886044 1.2223206  2.022733e-09 71.865169 -19.847797 -19.847797 1638.7243 1638.7243
1 798.89367  0.01041145 3.0071057 0.99102264 0.022723846 0.10883491 1.2262866 2.0228768e-09 71.879237 -19.847797 -19.847797 1637.4829 1637.4829
1 797.13607 0.010411658 3.0077049 0.99129651 0.022726545 0.10885068 1.2290419 2.0240892e-09 71.882331 -19.847797 -19.847797 1633.9677 1633.9677
1 797.89174 0.010411671 3.0077477   0.990844 0.022730579 0.10878668 1.2287777 2.0241758e-09 71.911447 -19.847797 -19.847797 1635.4791 1635.4791
1 796.85235 0.010411549 3.0079917 0.99033056 0.022729403 0.10891231 1.2299939 2.0246697e-09 71.856536 -19.847797 -19.847797 1633.4003 1633.4003
2 796.42097 0.010412044 3.0082343 0.98986887 0.022723895 0.10890531 1.2274386  2.025161e-09 71.871757 -19.847797 -19.847797 1632.5375 1632.5375
2 794.24754 0.010411908 3.0091052 0.99025173 0.022728572 0.10901888 1.2204549 2.0269254e-09 71.826011 -19.847797 -19.847797 1628.1907 1628.1907
1 789.70355 0.010413719 3.0095191 0.98996831 0.022741965 0.10943527 1.2257655 2.0277647e-09 71.734836 -19.847797 -19.847797 1619.1027 1619.1027
2 783.15729 0.010413902 3.0144944 0.98785297 0.022709844 0.11003836 1.2056269 2.0378785e-09 71.478142 -19.847797 -19.847797 1606.0102 1606.0102
1 779.76462 0.010412988 3.0138966 0.98723445 0.022722801 0.11059141 1.2051262 2.0366607e-09 71.242196 -19.847797 -19.847797 1599.2248 1599.2248
2 779.78867 0.010412986 3.0139139 0.98722327 0.022722891 0.11058957 1.2051842 2.0366959e-09 71.242898 -19.847797 -19.847797 1599.2729 1599.2729
1 776.76116 0.010413276 3.0145273 0.98652744   0.0227162  0.1106834 1.2001961 2.0379454e-09 71.210879 -19.847797 -19.847797 1593.2179 1593.2179
4 776.88747  0.01041336 3.0146065  0.9865186 0.022714173 0.11062874 1.2014611  2.038107e-09 71.233286 -19.847797 -19.847797 1593.4705 1593.4705
2 776.49183 0.010414204 3.0147198 0.98492979 0.022731486 0.11096432 1.2026415 2.0383379e-09   71.1464 -19.847797 -19.847797 1592.6793 1592.6793
1 776.00083 0.010414489 3.0150794 0.98523745 0.022731688 0.11090218 1.1990333 2.0390709e-09 71.180317 -19.847797 -19.847797 1591.6973 1591.6973
1 775.95856 0.010414519 3.0154826 0.98548517 0.022731385  0.1109385 1.2006248 2.0398933e-09 71.167046 -19.847797 -19.847797 1591.6127 1591.6127
1  775.8326 0.010414512 3.0157428 0.98517902   0.0227308 0.11088354 1.2010359 2.0404241e-09 71.187591 -19.847797 -19.847797 1591.3608 1591.3608
2 772.17384 0.010414004 3.0168096  0.9843632  0.02272085 0.11129419  1.192396 2.0426021e-09 71.003499 -19.847797 -19.847797 1584.0433 1584.0433
2 772.03121 0.010414391 3.0164956 0.98437849 0.022718165 0.11130877 1.1920844 2.0419607e-09 71.008874 -19.847797 -19.847797  1583.758  1583.758
7 772.16801 0.010414477 3.0170872  0.9835637 0.022717243 0.11123003 1.1887818 2.0431691e-09 71.041389 -19.847797 -19.847797 1584.0316 1584.0316
3 772.25248 0.010414432 3.0161391 0.98445738 0.022715108 0.11127086 1.1892164 2.0412329e-09 71.022344 -19.847797 -19.847797 1584.2006 1584.2006
3 772.14313 0.010414391 3.0161973 0.98444054 0.022714347 0.11125799 1.1897241 2.0413517e-09 71.025302 -19.847797 -19.847797 1583.9819 1583.9819
