#weight  minuslogpost  cosmomc_theta      logA         ns       ombh2      omch2     Alens         tau     a_tSZ     a_kSZ       a_p    beta_p       a_c    beta_c       a_s            As        H0  minuslogprior  minuslogprior__0      chi2  chi2__chi2
      5     732.04939    0.010415005 3.0038648 0.97418336 0.022497302 0.11442511 1.1574467 0.041808695  3.323899 1.8666806 6.7647858 2.1119916 5.0691677 2.1431451 3.0706415 2.0163314e-09 69.667986     -24.696648        -24.696648 1513.4921   1513.4921
      8     731.95757    0.010414994 3.0043593 0.97422119 0.022494195 0.11437207 1.1573771 0.041691067  3.323899 1.8666806 6.7647858 2.1119916 5.0691677 2.1431451 3.0706415 2.0173287e-09 69.684771     -24.668726        -24.668726 1513.2526   1513.2526
      7     731.08098    0.010414994 3.0043593 0.97422119 0.022494195 0.11437207 1.1573771 0.041691067 3.3165874 1.8744298 6.8030379 2.1025853 5.0552582 2.1451169 3.0748476 2.0173287e-09 69.684771     -24.668726        -24.668726 1511.4994   1511.4994
     34     730.31093    0.010414565 3.0032952 0.97301809 0.022497397 0.11475768 1.1563991 0.040528078 3.3165874 1.8744298 6.8030379 2.1025853 5.0552582 2.1451169 3.0748476 2.0151833e-09  69.52968     -24.378678        -24.378678 1509.3792   1509.3792
     11     731.95101    0.010414565 3.0032952 0.97301809 0.022497397 0.11475768 1.1563991 0.040528078 3.3245975 1.8947703 6.8004348 2.1037493  5.070419  2.145304 3.0761478 2.0151833e-09  69.52968     -24.378678        -24.378678 1512.6594   1512.6594
     10     731.37297    0.010414565 3.0032952 0.97301809 0.022497397 0.11475768 1.1563991 0.040528078 3.3181939 1.8563356 6.7993181 2.0980283 5.0059621 2.1619323 3.0735753 2.0151833e-09  69.52968     -24.378678        -24.378678 1511.5033   1511.5033
      4     732.86321    0.010414297 3.0052902 0.97232798 0.022514392 0.11469972  1.163486 0.041149842 3.3181939 1.8563356 6.7993181 2.0980283 5.0059621 2.1619323 3.0735753 2.0192075e-09 69.556128     -24.536902        -24.536902 1514.8002   1514.8002
      8     732.57346    0.010414301 3.0052501 0.97234292 0.022513966 0.11469899 1.1638544 0.041314843 3.3181939 1.8563356 6.7993181 2.0980283 5.0059621 2.1619323 3.0735753 2.0191264e-09 69.556176     -24.577673        -24.577673 1514.3023   1514.3023
     14     731.13882    0.010414301 3.0052501 0.97234292 0.022513966 0.11469899 1.1638544 0.041314843 3.3121463 1.8416877 6.8172052 2.0994002 5.0075843 2.1679372 3.0730965 2.0191264e-09 69.556176     -24.577673        -24.577673  1511.433    1511.433
      3     730.87395    0.010414301 3.0052501 0.97234292 0.022513966 0.11469899 1.1638544 0.041314843 3.3117078 1.8413843 6.8161719 2.0993937 5.0078697 2.1675808 3.0730782 2.0191264e-09 69.556176     -24.577673        -24.577673 1510.9032   1510.9032
      8     731.34554    0.010414301 3.0052501 0.97234292 0.022513966 0.11469899 1.1638544 0.041314843  3.292136  1.868137 6.8355805 2.0905065  5.016893 2.1688327  3.072809 2.0191264e-09 69.556176     -24.577673        -24.577673 1511.8464   1511.8464
     30     731.36431    0.010414301 3.0052501 0.97234292 0.022513966 0.11469899 1.1638544 0.041314843 3.2916932 1.8681469 6.8362325 2.0905242 5.0165225 2.1689028 3.0728784 2.0191264e-09 69.556176     -24.577673        -24.577673  1511.884    1511.884
      2      732.0584    0.010414301 3.0052501 0.97234292 0.022513966 0.11469899 1.1638544 0.041314843 3.2858994 1.8812184 6.8328911 2.0893614 5.0159835 2.1704006 3.0731582 2.0191264e-09 69.556176     -24.577673        -24.577673 1513.2721   1513.2721
     49     732.54521    0.010414301 3.0052501 0.97234292 0.022513966 0.11469899 1.1638544 0.041314843 3.2816936 1.8675402 6.8316611 2.0889456 5.0189743 2.1723257 3.0729934 2.0191264e-09 69.556176     -24.577673        -24.577673 1514.2458   1514.2458
     29     730.68942    0.010414301 3.0052501 0.97234292 0.022513966 0.11469899 1.1638544 0.041314843 3.2841909 1.8960748 6.8418209 2.0867175 4.9752861 2.1827069 3.0716284 2.0191264e-09 69.556176     -24.577673        -24.577673 1510.5342   1510.5342
     38     732.32733    0.010414369 3.0046487 0.97278317 0.022515003 0.11469837 1.1642968 0.042096325 3.2841909 1.8960748 6.8418209 2.0867175 4.9752861 2.1827069 3.0716284 2.0179125e-09 69.559581     -24.763833        -24.763833 1514.1823   1514.1823
